areacd,number_bedrooms_5a-001,number_bedrooms_5a-002,number_bedrooms_5a-003,number_bedrooms_5a-004
E00177179,12.6,26.2,7.8,53.4
E00177195,5.3,41.3,37.5,15.9
E00177199,8,10.9,45.3,35.8
E00177214,2.6,22.1,42.2,33.1
E00177223,0,15.5,42,42.5
E00177226,0,9.5,26.2,64.3
E00177229,40,40,9.2,10.8
E00177231,0,30.1,42.2,27.7
E00183543,13.1,56.1,4.5,26.3
E00183544,0,3.1,84.4,12.5
E00183545,17.1,53,14.5,15.4
E00183546,3.9,27.5,27.5,41.2
E00183547,0,4.7,23.4,71.9
E00183557,14.5,55.6,17.7,12.1
E00183558,47.7,34.6,13.1,4.6
E00183559,18.7,48.8,13.3,19.3
E00183560,24.4,32.2,35.6,7.8
E00183613,2.1,26.6,39.2,32.2
E00183614,1.2,59,30.1,9.6
E00183615,0,45.8,47.9,6.3
E00183616,15.4,39.7,32.4,12.5
E00183617,7.1,33.3,33.3,26.2
E00183618,6.4,30.1,23.7,39.9
E00183619,6,31.3,40.3,22.4
E00183620,0.6,2.5,28.5,68.4
E00183621,1.1,5.5,28.6,64.8
E00183622,7,33.8,29.6,29.6
E00183623,16.4,27.9,37.7,18
E00183624,26.6,42,16.4,15
E00187631,9.5,28.4,38.5,23.6
E00187644,1.4,37.5,45.8,15.3
E00187670,2.3,8.2,33.8,55.7
E00187674,54.1,31.5,6.3,8.1
E00187680,0,16.3,20.2,63.5
E00187685,0,5.4,25,69.6
E00187689,2.4,19,19,59.5
E00187730,1.4,18.8,47.8,31.9
E00187735,1,29.5,42.9,26.7
E00187742,1,43.4,43.4,12.1
E00187747,0,33,54.1,13
E00187787,4,21.2,25.2,49.7
E00187812,0,26.9,47.7,25.4
E00187815,0,17.8,41.1,41.1
E00187827,13.3,22.2,42.2,22.2
E00187844,0,25.6,36,38.4
E00189331,4.2,16.1,50.8,28.8
E00189420,4.1,11.4,47.2,37.4
