areacd,ethnic_group_tb_6a-001,ethnic_group_tb_6a-002,ethnic_group_tb_6a-003,ethnic_group_tb_6a-004,ethnic_group_tb_6a-005
E00024134,9.8,3.4,3,72.9,11
E00024135,20.1,4.6,7.8,56.2,11.4
E00024136,10.1,5.2,5.8,69.9,8.9
E00024137,15.7,4.1,4.1,62.8,13.4
E00024138,9.6,2.9,3.8,81.3,2.4
E00024140,24.6,0,1.6,60.5,13.3
E00174650,30.2,2.6,10.5,50.6,6.1
E00174651,24.8,3.2,10.6,51.4,10.1
E00174652,27.7,6.3,5.4,52.7,8
E00174653,40.5,15.4,6.8,33.4,3.9
E00174654,25.8,9.6,8.5,50.7,5.4
E00174680,20.5,20.1,6.4,41,12
E00175187,23.3,4.5,2.9,52.3,17
E00175192,9.2,3.2,40.8,42.7,4.1
E00175193,16.3,6.1,8.9,59.8,8.9
E00175194,12.1,1.7,4.7,72.1,9.4
E00175196,13.1,2,4,67.7,13.1
E00175207,54.4,1.7,2.2,40,1.7
E00175210,48.6,3.3,7.1,29,11.9
E00175211,31.8,4.9,4.5,41.7,17
E00175215,67.2,3.4,0,23.4,5.9
E00175218,41.3,0,6.6,42.1,9.9
E00175219,29.2,0.8,7.5,55.8,6.7
E00175220,12,10.9,4.3,46.2,26.6
E00175221,28.8,36.2,5.6,14.4,15
E00175263,29.8,16.2,3.5,16.5,34.1
E00175265,21.1,15.3,7.1,38.4,18.1
E00175266,41.4,10,2.3,24.1,22.2
E00175268,33.8,11.1,5.9,21.4,27.8
E00175269,18.1,25.9,3.7,33.8,18.5
E00175270,29,13.2,5.4,29.3,23
E00175271,25.7,6.3,11.7,32,24.3
E00175272,30.4,11.9,5.2,22.7,29.9
E00175273,14.4,12.7,8.1,32.6,32.2
E00175274,32.6,15.2,1.2,28,22.9
E00190358,43.3,21.6,3.9,23.5,7.8
E00190383,33.2,2.4,3.8,45,15.6
E00190391,15,4.1,4.1,65,11.8
E00190392,14.4,3.5,5.5,70.6,6
E00190393,16.8,6.9,4.7,60.2,11.3
E00190397,23.8,13.9,9.3,29.5,23.5
E00190400,16.3,11,5.8,30.1,36.7
E00190423,10.4,11.2,8.9,48.3,21.2
E00190427,12.3,5.2,11.8,60.8,9.9
E00190435,69.4,4.7,4.3,14,7.8
E00190438,74.8,5,2.1,11,7.1
E00190450,11.5,2.8,3.7,72.8,9.2
E00190455,13.9,2.6,6.4,64.3,12.8
E00190465,34.9,5.6,1.7,36.2,21.6
