geography_code,number_bedrooms_5a-001,number_bedrooms_5a-002,number_bedrooms_5a-003,number_bedrooms_5a-004
E00047396,11.6,18.5,59.6,10.3
E00047399,31.3,10.2,43.8,14.8
E00047403,11.7,20.3,50,18
E00047404,8.3,11.9,56.9,22.9
E00047408,7.2,8.1,55.9,28.8
E00047410,6.9,7.8,46.6,38.8
E00047411,6,25.9,50,18.1
E00047414,6.9,5.9,22.8,64.4
E00047415,0.9,16.2,62.2,20.7
E00047417,34.4,14.4,7.8,43.3
E00047421,3.3,7.7,60.4,28.6
E00047423,15.2,7.3,17.2,60.3
E00047424,16.2,10.1,11.1,62.6
E00047425,6.1,21.2,49.2,23.5
E00047431,20.1,26.1,43.3,10.4
E00047435,14.7,19.4,55,10.9
E00047440,3.4,46.6,42.2,7.8
E00047443,51.6,14.5,16.1,17.7
E00047444,21.7,42.6,25.6,10.1
E00047599,6,51.2,33.1,9.6
E00047601,21,10.5,62.9,5.6
E00047602,1.5,11,78.7,8.8
E00047603,2.2,18.4,70.6,8.8
E00047604,17,5.2,69.6,8.1
E00047605,3.4,22.8,62.8,11
E00047606,12.1,2.1,75,10.7
E00047607,7.4,7.4,73.3,11.9
E00047608,24.2,12.9,50.8,12.1
E00047609,27.6,26.8,40.7,4.9
E00047610,0,4.3,84.3,11.3
E00047611,4.6,16.3,71.9,7.2
E00047612,32.7,14.4,25.7,27.2
E00047614,27.6,6,56,10.4
E00047616,58.4,13.9,23.1,4.6
E00047617,12.3,13.8,37.7,36.2
E00047618,19,2.6,48.3,30.2
E00047619,3.6,37.9,32.9,25.7
E00047620,5,6.7,65.5,22.7
E00047621,15.2,16.1,44.6,24.1
E00047622,30.1,44,15.7,10.2
E00047623,60.7,34.4,4.4,0.5
E00047624,16.5,13.5,51.9,18
E00047625,0,34.3,58.7,7
E00047626,8.3,55.9,31,4.8
E00047627,7.9,45,32.1,15
E00047628,11.9,53.2,33.3,1.6
E00047629,8.9,12.5,61.6,17
E00047630,55.2,5.5,23.6,15.8
E00047631,4.9,28.7,50.7,15.7
E00047632,11.2,46.2,19.5,23.1
E00047633,11,34.2,50.3,4.5
E00047634,0.7,67.9,28.4,3
E00047635,58.3,20.9,12.2,8.6
E00047636,22.7,76.7,0.6,0
E00047637,28.9,20.8,31.5,18.8
E00047639,0.9,10.3,74.1,14.7
E00047640,34.6,24.4,26.8,14.2
E00047641,4.3,11.4,62.9,21.4
E00047642,19.8,27.9,19.8,32.4
E00047643,8.3,25.7,46.8,19.3
E00047644,6.4,41.6,36,16
E00047645,2.3,6.8,78.9,12
E00047646,12.7,15.7,50,21.6
E00047649,18.8,11.3,41.4,28.6
E00047650,0.9,8.8,79.6,10.6
E00047651,9.3,6.2,64.9,19.6
E00047652,46.8,28.8,5.8,18.7
E00047653,2.1,7.1,84.3,6.4
E00047656,4.1,19.7,75.4,0.8
E00047657,33.6,34.6,28,3.7
E00047660,7.7,24.6,58.5,9.2
E00047662,30.8,4.8,63,1.4
E00047663,15.4,11.5,68.5,4.6
E00047664,16.1,39.9,37.1,7
E00047665,18.9,9.9,64.9,6.3
E00047666,9.4,19.7,66.7,4.3
E00047667,5.8,10.6,79.8,3.8
E00047668,1.7,12.6,81.5,4.2
E00047669,16.5,17.3,44.9,21.3
E00047670,30.7,42.7,23.3,3.3
E00047671,8.1,26,48,17.9
E00047672,8.1,28.9,51.1,11.9
E00047674,9.6,14.7,64,11.8
E00047675,4.2,5.9,77.1,12.7
E00047677,1.8,13.2,77.2,7.9
E00047986,2.7,21.2,63,13
E00047995,36.2,10.1,26.1,27.5
E00047996,3.1,18.5,65.4,13.1
E00047998,30.4,3.2,46.4,20
E00047999,0,18.8,74.2,7
E00048003,38.5,20.2,30.8,10.6
E00048006,0,24.3,60,15.7
E00048008,25.4,19.3,31.6,23.7
E00048012,9.8,10.6,70.7,8.9
E00048013,3.5,46.9,28.3,21.2
E00048014,0,23.5,58.8,17.6
E00048015,0.8,22.5,65.8,10.8
E00048020,25.4,13.8,42.3,18.5
E00048021,0,27.5,59.8,12.7
E00048023,7.1,29.4,39.7,23.8
E00048024,4.1,39.2,42.6,14.2
E00048025,11.3,32.6,48.9,7.1
E00048026,8.4,5.9,74.8,10.9
E00048031,0,35.4,55.1,9.4
E00048034,4.5,8.3,68.2,18.9
E00050623,38,34.9,24,3.1
E00050625,19.2,33.1,41.5,6.2
E00175611,5,28.7,28.7,37.6
E00175612,17.6,31.1,40.5,10.8
E00175614,42.6,39.3,13.1,4.9
E00175618,46.4,47.4,6.2,0
E00175624,55,38.9,3.8,2.3
E00175625,25.6,65,8.5,0.9
E00175649,32.2,6.8,47.5,13.6
E00175651,67.4,30.3,2.2,0
E00175654,68.6,29.3,2.1,0
E00175655,31.3,67.9,0.9,0
E00175677,55.2,13.1,23.4,8.3
E00175679,51.2,42.6,6.2,0
E00175684,74.1,24.3,1.1,0.5
E00175705,5.3,71.7,10.5,12.5
E00175706,52.5,44.4,2.5,0.6
E00175708,64.7,28.8,5,1.4
E00175709,42.6,39.3,16.4,1.6
E00175722,14.1,84.4,1.6,0
E00175723,87.1,12.9,0,0
E00175727,5.5,69.6,7.2,17.7
E00175729,1.9,15.6,55.6,26.9
E00175733,48.6,48.6,2.7,0
E00175735,76.2,22.2,0,1.6
E00175740,0,0,38.9,61.1
E00175755,39.3,10.7,15.2,34.8
E00175756,72.9,7.8,13.2,6.2
E00175761,4.6,7.4,13.9,74.1
E00175764,4,24.8,45.5,25.7
E00175766,1.9,49.5,32.4,16.2
E00175771,51.7,46.3,2,0
E00175776,3.8,2.6,30.8,62.8
E00175777,18.7,5.5,9.9,65.9
E00175778,67.8,26.2,5.4,0.7
E00175779,57.9,38.3,3.7,0
E00175780,43.1,53.7,2.4,0.8
E00175788,29.9,37.9,24.1,8
E00175789,10.7,33.3,23.8,32.1
E00175790,12.4,75.2,10.9,1.5
E00175791,0,4.1,24.5,71.4
E00175792,21,28.4,45.7,4.9
E00186085,23.5,15.9,43.5,17.1
E00186091,3.3,28.3,43.3,25
E00186093,29.5,37.7,17.1,15.8
E00186101,55.3,40.7,4,0
E00186102,20.4,26.9,33.3,19.4
E00186103,32,36.9,23.8,7.3
E00186107,44.7,31.9,12.8,10.6
E00186114,12.5,5.4,14.3,67.9
E00186119,42.6,50,5.7,1.6
E00186120,1.4,33.8,31.1,33.8
E00186124,36.6,62.5,0.9,0
E00186129,1.7,34.8,51.7,11.8
E00186132,0,20,60,20
E00186133,35.8,52.5,1.7,10
E00186135,9,59.5,28.8,2.7
E00186138,8.5,61.7,19.1,10.6
E00186139,1.7,23.9,48.7,25.6
E00186145,14.3,23.4,41.6,20.8
E00186146,2.3,7,60.5,30.2
E00186162,72.7,15.2,10.9,1.2
E00186165,0,5.3,11.6,83.2
E00186167,29.5,29,33,8.5
E00186168,29,13.7,37.7,19.7
E00186169,6.8,34.1,47.7,11.4
E00186171,2.6,15.4,66.7,15.4
E00186177,26.9,68.7,3,1.5
E00186182,8.1,35.1,43.2,13.5
E00186198,1.4,17.3,64,17.3
E00186201,20.3,31.9,21,26.8
E00186203,3.1,4.6,41.5,50.8
E00186204,24.2,30.7,24.8,20.3
E00186214,36.5,58.7,3.2,1.6
E00186216,52.2,31.9,7.2,8.7
E00186217,27.5,64.2,3.3,5
E00186222,1.7,15.3,66.1,16.9
E00186225,25.5,14.5,34.5,25.5
E00186238,64.8,34.4,0.8,0
E00186240,26.2,68.9,4.9,0
E00186242,94.4,3.5,2.1,0
E00186248,23,39.9,23.6,13.5
E00186251,32,64.6,3.4,0
E00186253,2.9,28.6,42.9,25.7
E00186254,35.6,42.4,18.6,3.4
E00186256,67.4,32.6,0,0
