geography_code,workplace_travel_4a-001,workplace_travel_4a-002,workplace_travel_4a-003,workplace_travel_4a-004
E00010081,9.1,3.9,81.8,5.2
E00010082,24.5,6.8,58.9,9.9
E00010083,25.3,7.8,61.7,5.2
E00010084,21.8,1.4,65.3,11.6
E00010085,23.9,4.6,65.5,6.1
E00010086,17,3.6,69.1,10.3
E00010087,17.5,3.6,72.3,6.6
E00010088,18.9,3.6,68.6,8.9
E00010089,24.3,2.7,67.6,5.4
E00010090,19.1,3.2,70.2,7.4
E00010091,16.9,5,74.4,3.8
E00010092,26.8,2.8,62,8.4
E00010093,22.3,2.3,71.5,3.8
E00010094,31.5,4.6,46.9,16.9
E00010095,23.2,2.7,60.8,13.3
E00010096,19.9,5.6,69.6,5
E00010097,18.3,5.8,65.8,10
E00010098,32.1,5.4,51.8,10.7
E00010099,30.5,4.3,59.1,6.1
E00010100,31,4.1,54.5,10.3
E00010101,17.7,4.7,75.5,2.1
E00010102,29.4,7.8,55.9,6.9
E00010103,27.8,5.9,54.4,11.8
E00010104,28.2,4.5,53.5,13.9
E00010105,31.8,7.6,51.7,8.9
E00010106,35,7.5,43.5,14.1
E00010107,32.3,3.7,59,5
E00010108,23.4,4,62.1,10.5
E00010109,24.8,5.6,61.5,8.1
E00010110,27.9,5.5,56.4,10.3
E00010111,24.9,6.8,60.5,7.9
E00010112,27.2,9.3,54.3,9.3
E00010114,43.2,9.5,31.6,15.8
E00010115,42.7,13.5,30.2,13.5
E00010116,19.5,8.1,63.4,8.9
E00010117,34.7,2,56,7.3
E00010118,15.5,7.1,69.7,7.7
E00010119,44,10.4,27.2,18.4
E00010120,33.6,9.7,37.2,19.5
E00010121,27.2,5.1,58.8,8.8
E00010122,24.8,5.2,60.1,9.8
E00010123,26.2,5.5,57.3,11
E00010124,40.1,8.4,40.1,11.4
E00010125,21.3,3.8,68.8,6.3
E00010126,19.9,3.2,67.9,9
E00010127,25.7,5.4,59.5,9.5
E00010128,26.9,3.6,60.2,9.2
E00010130,26.2,8.9,57.7,7.1
E00010131,24.6,5.5,58.3,11.6
E00010132,29.8,7.7,50,12.5
E00010133,21.8,7.9,63,7.3
E00010134,36,1.6,52,10.4
E00010135,28.3,6.7,55,10
E00010136,21.5,6.2,63.8,8.5
E00010137,42.2,9.6,37.8,10.4
E00010138,19.1,5.6,66,9.3
E00010139,24.6,4.6,58.3,12.6
E00010140,28.6,3.2,63,5.2
E00010141,27.9,7.3,55.2,9.7
E00010142,26.7,8.6,56.1,8.6
E00010143,24.4,8.8,55.6,11.3
E00010144,24.4,7.7,57.1,10.9
E00010145,28.9,6.7,55.6,8.9
E00010146,31.3,4.3,53.9,10.4
E00010147,23.5,5.1,63.2,8.1
E00010148,23.6,7.3,67.3,1.8
E00010149,32,6.4,51.2,10.5
E00010150,18.5,5.9,66.8,8.8
E00010152,21,4.5,67.6,6.8
E00010153,31.7,5.8,51.7,10.8
E00010154,20.4,5.1,67.5,7
E00010155,32.6,9.3,44.8,13.4
E00010156,22.2,4.4,65.9,7.4
E00010157,16.7,1.4,73.9,8
E00010158,21.7,0.5,67.6,10.1
E00010159,19.1,2.2,68,10.7
E00010160,20.8,2.8,68.9,7.5
E00010161,17.9,2.8,70.3,9
E00010162,21.9,8.8,59,10.4
E00010163,18.2,4.1,71.2,6.5
E00010164,25.9,3.5,67.8,2.8
E00010165,24.4,2.4,60.1,13.1
E00010166,18.4,5.9,72.1,3.7
E00010167,20.9,3.8,66.5,8.8
E00010168,23.9,6.3,64.8,4.9
E00010169,29.8,3.1,58.6,8.4
E00010170,17.9,5.1,67.9,9
E00010171,16,3.2,76.6,4.3
E00010172,23.2,4.9,65.9,5.9
E00010173,32.5,8.9,52,6.5
E00010174,29.5,6.7,56,7.8
E00010176,43.3,12.7,20.1,23.9
E00010177,37,9.2,31.1,22.7
E00010178,47.1,8.9,24.8,19.1
E00010179,45.9,18,19.8,16.2
E00010180,37.1,9,31.1,22.8
E00010181,47,12,22.2,18.8
E00010182,34.6,16,27.6,21.8
E00010183,37.6,11.8,24.7,25.8
E00010184,36.3,7.4,39.1,17.2
E00010185,37.4,12.1,30.1,20.4
E00010186,39.2,8.5,16.2,36.2
