geography_code,residence_length_6b-001,residence_length_6b-002,residence_length_6b-003,residence_length_6b-004,residence_length_6b-005
E00065920,94.9,3.6,0.4,0,1.1
E00065921,96.1,3.3,0.6,0,0
E00065922,95.8,3.7,0,0.6,0
E00065923,94.5,3.7,0,1.4,0.3
E00065924,93.4,3.3,1.8,1.5,0
E00065925,97.2,2.2,0.6,0,0
E00065926,91.9,4.6,1,0.8,1.8
E00065927,97.4,2.2,0,0,0.4
E00065928,94.6,3.7,0.4,1.1,0.2
E00065929,94.8,2.2,0.4,0,2.6
E00065930,92.7,4.9,0.9,1.2,0.3
E00065931,91.2,6.4,0.8,1.6,0
E00065932,96.2,3.8,0,0,0
E00065933,95.2,3,0.4,0,1.3
E00065934,95.8,4.2,0,0,0
E00065935,90.3,5.6,1.7,1.4,1.1
E00065936,92.2,4.9,0.7,0.7,1.6
E00065937,89.8,4.1,2,4.1,0
E00065938,88.5,8.8,1,1.7,0
E00065939,93.3,4.2,1.3,1.3,0
E00065940,91.9,5.7,2,0,0.4
E00065941,94.9,3.1,0.8,0,1.2
E00065942,96.8,2.5,0.4,0,0.4
E00065943,96.7,3.3,0,0,0
E00065944,97.6,1.7,0,0.7,0
E00065945,95.5,2.2,1.9,0.4,0
E00065946,94.5,4.1,0,1.1,0.4
E00065947,96.3,3.3,0.4,0,0
E00065948,98.2,1.8,0,0,0
E00065949,95.1,3,0.8,0.8,0.4
E00065950,95.8,4.2,0,0,0
E00065951,93.3,3.2,3.2,0.4,0
E00065952,94.5,5.1,0,0.4,0
E00065953,95.5,2.8,1.4,0,0.3
E00065954,94.8,3.5,0.4,0.9,0.4
E00065955,94.3,2.5,1.8,1.1,0.4
E00065956,92,6.1,1.3,0,0.6
E00065957,94.1,4.6,0.4,0.4,0.4
E00065958,93.9,4.6,0.7,0.5,0.2
E00065959,91.4,6.3,1.1,0,1.1
E00065960,97.7,0.4,0,1.9,0
E00066121,98.4,1,0.7,0,0
E00066122,96.8,2.6,0.3,0.3,0
E00066125,97,3,0,0,0
E00066126,96.9,1.8,0.4,0.9,0
E00066127,96.6,1.7,1.4,0,0.3
E00066151,96.6,3.1,0,0,0.3
E00066152,94,4.7,0.3,0,1.1
E00066153,91.4,7.4,0.9,0,0.3
E00066154,95.2,3.1,0,0.9,0.9
E00066155,92.9,6.8,0.3,0,0
E00066161,90.5,5.2,1,0,3.2
E00066162,92,6.4,0.3,0,1.3
