geography_code,highest_qualification_6a-000,highest_qualification_6a-001,highest_qualification_6a-002,highest_qualification_6a-003,highest_qualification_6a-004
E00168161,15.9,49.4,5.9,27.1,1.8
E00168165,7.4,36.4,3.9,51.5,0.9
E00168166,3.4,36.6,2.4,55.6,2
E00168167,4.1,29.1,4.1,61.2,1.5
E00168168,4.9,36.8,2.2,55.5,0.5
E00168169,4.3,34.1,0,60.2,1.4
E00168170,7.2,35.4,1.4,55.5,0.5
E00168172,5.2,36.7,8.3,47.2,2.6
E00168173,8.6,35.9,0,55,0.5
E00168174,2.8,48.6,0.6,48,0
E00168175,4.9,39.7,3.4,50,2
E00168176,8.4,34.7,3.7,53.2,0
E00168177,8.6,33.9,2.4,53.9,1.2
E00168178,5.8,37.2,1.9,51.9,3.2
E00168179,20.7,38.8,3,33.6,3.9
E00185039,5.8,43.6,1.9,47.9,0.8
E00185047,13.1,37.9,4.3,42.2,2.5
E00185057,10.6,42.3,5.8,40.4,1
E00185058,11,41.1,5.5,42.5,0
E00185063,14.3,25,2.4,56,2.4
E00185093,16.4,36.8,3.7,42,1.1
E00185096,15.7,36,4.7,40.7,2.9
E00185104,16.5,34.4,4.9,42,2.2
E00185128,10.9,41.1,5,42.6,0.5
E00185134,9.5,35.6,1.5,52,1.5
