areacd,national_identity_all_4a-001,national_identity_all_4a-002,national_identity_all_4a-003
E00096292,97.8,0.7,1.5
E00096293,98.3,0.3,1.3
E00096294,98.4,0.5,1
E00096296,97.3,0,2.7
E00096297,99.4,0,0.6
E00096300,99.5,0,0.5
E00096301,98.8,0,1.2
E00096303,98.3,1.2,0.6
E00096304,98.9,0,1.1
E00096305,98.2,0.9,0.9
E00096306,98.5,0,1.5
E00096307,98.1,0,1.9
E00096308,96.9,0.8,2.4
E00096309,99.6,0.4,0
E00096310,98.5,0,1.5
E00096311,97.1,1.2,1.7
E00096312,98.8,0,1.2
E00096313,96.1,1.2,2.7
E00096314,95.4,2.3,2.3
E00096315,99.3,0.4,0.4
E00096316,96.5,0.9,2.7
E00096317,97.7,0.6,1.7
E00096333,97.6,0.3,2
E00096338,98.7,0.7,0.7
E00096347,98.2,0.4,1.4
E00096348,98.4,0,1.6
E00096349,99.4,0,0.6
E00096350,96.1,1.3,2.6
E00096351,96,1.1,2.9
E00096353,96.3,0,3.7
E00096354,99.2,0,0.8
E00096355,98,0.3,1.7
E00096356,98.6,0.6,0.8
E00096357,100,0,0
E00096358,97.4,0.6,1.9
E00096359,96.7,0.7,2.6
E00096360,98.4,0.6,1
E00096361,99.2,0,0.8
E00096362,96.6,0.6,2.8
E00096363,98.4,0.3,1.3
E00096364,99.3,0,0.7
E00096365,97,0.3,2.7
E00096366,97.8,0,2.2
E00096367,99,0.2,0.8
E00096368,99.4,0,0.6
E00096370,98.9,0.4,0.7
E00096371,99.1,0.3,0.6
E00096372,97.8,1.2,0.9
E00096373,98.9,0,1.1
E00096374,97.2,1.2,1.6
E00096375,97.8,0,2.2
E00096376,99.7,0,0.3
E00096377,98.1,1.1,0.8
E00096378,95.9,1.3,2.8
E00096379,98.9,0,1.1
E00096380,98.4,0.5,1.1
E00096381,99.4,0,0.6
E00096382,98.3,0.5,1.2
E00096383,97.9,0.4,1.7
E00096384,95.6,2.2,2.2
E00096385,96,0.4,3.6
E00096386,98.8,0,1.2
E00096387,95.8,0.5,3.7
