geography_code,occupancy_rating_bedrooms_6a-001,occupancy_rating_bedrooms_6a-002,occupancy_rating_bedrooms_6a-003,occupancy_rating_bedrooms_6a-004,occupancy_rating_bedrooms_6a-005
E00054226,21.2,45.7,28.5,2.6,2
E00054227,49.6,39.7,10.7,0,0
E00054228,41.8,39.2,16.5,2.5,0
E00054229,48.2,35.5,15.6,0.7,0
E00054231,27.1,46.6,24.1,2.3,0
E00054232,41.3,30.1,27.3,0.7,0.7
E00054233,38.2,40.1,21.1,0.7,0
E00054234,30.5,34.8,31.1,3,0.6
E00054235,42.6,35.7,19.1,2.6,0
E00054236,22.5,55.9,20.7,0.9,0
E00054237,37.9,40.9,18.9,2.3,0
E00054238,58.1,30.1,11.8,0,0
E00054239,37.3,36.4,22.9,3.4,0
E00054240,43.5,32.2,19.1,4.3,0.9
E00054241,36.1,40.7,22.2,0.9,0
E00054242,33.6,43.4,20.5,2.5,0
E00054243,38.1,37.2,24.8,0,0
E00054244,34,39.6,20.1,6.3,0
E00054245,41.5,40.8,17.7,0,0
E00054246,44.8,30.8,23.1,1.4,0
E00054247,24.4,36.6,34.7,4.2,0
E00054248,23.1,41,32.8,3,0
E00054249,43,38.3,16.8,2,0
E00054250,66.7,25.8,7.5,0,0
E00054251,32,43.8,20.3,3.9,0
E00054252,29.4,41.2,26.1,3.4,0
E00054253,45.4,42.3,11.5,0.8,0
E00054254,26.2,33.8,36.3,3.8,0
E00054255,23.4,29,47.6,0,0
E00054256,71.8,22.7,5.5,0,0
E00054257,24.2,39.3,34.3,2.2,0
E00054258,37.5,50.8,10,1.7,0
E00054259,8.7,17.5,73.8,0,0
E00054260,39.1,42.5,14.9,3.4,0
E00054261,9.5,53.4,34.5,2.6,0
E00054262,33.9,49.2,15.3,1.6,0
E00054263,21.2,55.5,21.2,2.2,0
E00054264,23.3,47.2,25.6,4,0
E00054265,20.9,35.5,40.9,1.8,0.9
E00054266,51.7,33.9,11.9,0,2.5
E00054267,20,31.5,39.5,7.5,1.5
E00054268,7.4,60.8,29.5,2.3,0
E00054269,41.1,44.2,12.3,1.8,0.6
E00054270,46.8,32.1,18.3,1.8,0.9
E00054271,36.4,37.8,23.8,2.1,0
E00054272,27,50.8,20.6,1.6,0
E00054274,57.4,30.6,11.1,0.9,0
E00054275,29.1,41.9,27.4,1.7,0
E00054277,49.6,35,15.4,0,0
E00054278,49.3,44,6.7,0,0
E00054279,55,35.1,9.9,0,0
E00054282,17.9,47.7,31.1,3.3,0
E00054283,42.4,43.9,12.9,0.8,0
E00054284,33.9,33.9,23.7,5.9,2.5
E00054285,23,38.1,31.7,4.3,2.9
E00054286,29.5,36.6,26.8,5.4,1.8
E00054287,24.2,41.7,29.2,5,0
E00054288,40.7,35.4,18.6,3.5,1.8
E00054343,30.1,46.2,23.1,0.7,0
E00054344,6.3,35.9,54.7,3.1,0
E00054345,7.5,20,66.7,5.8,0
E00054346,13.2,36.1,46.7,2.6,1.3
E00054350,28,48.2,23.8,0,0
E00054351,5.9,24.7,65.3,4.2,0
E00054353,23.4,33.1,35.5,8.1,0
E00054355,31.4,33.6,32.1,2.2,0.7
E00054356,45.3,39.1,14.1,1.6,0
E00054357,15.4,26.4,55.7,2.5,0
E00054358,31.5,22.6,42.7,1.6,1.6
E00054362,26.9,30.6,38.8,3.7,0
E00054363,20.4,46.7,29.6,2,1.3
E00054364,41.5,38.8,18.4,1.4,0
E00054366,27,49.6,21.3,1.4,0.7
E00054368,16.9,32.4,44.1,6.6,0
E00054372,9.2,22.1,64.1,4.6,0
E00054374,27.6,34.5,33.8,3.4,0.7
E00054375,23.4,40.6,32,3.9,0
E00054376,8.9,40.2,46.4,4.5,0
E00054377,16.4,30.6,47,6,0
E00054379,29.8,36.6,32.1,0.8,0.8
E00054380,19.1,46.8,29.1,2.8,2.1
E00054381,14.5,44.1,38.7,2.7,0
E00054387,48.1,32.1,19.8,0,0
E00054388,15.5,43.2,28.4,12.8,0
E00054389,13.2,46.7,36.2,3.9,0
E00054390,20.7,29.6,48.1,0.7,0.7
E00054391,36.8,36,22.8,4.4,0
E00054392,58.4,32,8.8,0,0.8
E00054393,46,24.1,23.4,4.4,2.2
E00054394,44.9,35.9,15.4,3.8,0
E00054395,45.8,36.4,17.8,0,0
E00054396,60.1,25,10.8,3.4,0.7
E00054397,41,39.3,15.4,4.3,0
E00054398,71.5,21.1,6.5,0,0.8
E00054399,22.8,30.3,44.1,2.8,0
E00054400,32.2,47.9,16.5,0.8,2.5
E00054401,16.4,22.1,53.3,5.7,2.5
E00054402,30.2,36.4,30.2,2.3,0.8
E00054403,57.4,19.1,17.6,3.7,2.2
E00054404,27.7,26.1,37.8,4.2,4.2
E00054405,51.5,23.9,17.9,6,0.7
E00054407,31.7,22.2,33.3,10.3,2.4
E00054408,49.2,25.8,16.7,6.1,2.3
E00054409,30.3,26.1,29.6,8.5,5.6
E00054410,53.3,26.6,14.2,3.6,2.4
E00054411,16.2,25.7,45.5,8.4,4.2
E00054412,4.3,41.8,44,7.8,2.1
E00054413,33.6,41.6,19.2,5.6,0
E00054414,29.8,38,32.2,0,0
E00054415,8.9,54.8,35.5,0,0.8
E00054416,27.1,43.2,25.4,4.2,0
E00054417,14.6,54.9,29.2,1.4,0
E00054418,22.2,52.6,23,2.2,0
E00054419,55.3,30.6,12.4,1.8,0
E00054420,54.1,33.6,11.6,0.7,0
E00054421,25.7,50.7,21.6,2,0
E00054422,42.6,14.8,39.6,3,0
E00054423,36.6,50.4,12.2,0,0.8
E00054424,66.4,16.8,16.1,0,0.7
E00054425,63.1,27.9,7.8,0.6,0.6
E00054426,51.9,24.4,23,0.7,0
E00054427,40.5,29.8,28.6,0.6,0.6
E00054428,64.7,23.5,11.8,0,0
E00054429,53.4,33.9,11,0.8,0.8
E00054430,13.4,20.6,66,0,0
E00054431,59.5,29.7,9.9,0,0.9
E00054432,54.4,30.9,14,0.7,0
E00054433,61,30.1,8.1,0.7,0
E00054434,52.3,31.8,15.2,0.8,0
E00054435,67,23.5,7.8,0.9,0.9
E00054436,50.7,40.7,6.7,2,0
E00054437,26.8,44.9,26.8,0.7,0.7
E00054438,35.8,35,20.3,5.7,3.3
E00054439,39,39.6,17.5,2.6,1.3
E00054440,21.9,35.1,34.2,7,1.8
E00054441,38,32.6,22.5,3.9,3.1
E00054442,17.2,25.4,41,13.4,3
E00054443,20.5,21.2,47.7,6.8,3.8
E00054444,64.5,31.4,4.1,0,0
E00054445,42.6,43.2,14.2,0,0
E00054446,39.2,40.6,19.6,0.7,0
E00054447,45.6,35.3,17.6,0.7,0.7
E00054448,35,51.3,13.7,0,0
E00054449,38.8,38.8,19.4,2.3,0.8
E00054450,49.1,39,11.3,0.6,0
E00054451,17.4,46.3,30.6,5,0.8
E00054452,38.6,27.6,22,6.3,5.5
E00054453,27.2,32.4,30.1,8.8,1.5
E00054454,13.5,34.6,47.4,4.5,0
E00054456,31.1,36.9,27.9,3.3,0.8
E00054457,32.8,26,32.8,7.6,0.8
E00054458,19.3,33.3,34.2,13.2,0
E00054459,23.1,40.5,32.2,2.5,1.7
E00054460,29,30.5,31.3,7.6,1.5
E00054461,15.8,24.1,54.4,5.7,0
E00054462,17.6,33.1,39.7,6.6,2.9
E00054463,9.9,19.3,61.5,8.1,1.2
E00054464,15.9,29,48.3,4.8,2.1
E00054465,41.8,41.8,15.4,1.1,0
E00054467,7.1,32.4,53.5,4.7,2.4
E00054468,27,33.3,31.7,6.9,1.1
E00054469,35,37.4,27.6,0,0
E00054470,40.8,42.3,15.4,1.5,0
E00054471,37.3,42.7,20,0,0
E00054472,20.8,25.6,52,1.6,0
E00054474,14.2,45.7,39.5,0.6,0
E00054475,41.3,35.7,22.4,0.7,0
E00054476,36.4,43,18.5,2,0
E00054477,27,42.1,28.9,2,0
E00054478,15.6,30.4,51.1,3,0
E00054479,48.9,34.1,15.6,1.5,0
E00054480,7.8,34,56,2.1,0
E00054482,25.5,26.7,30.3,13.3,4.2
E00054483,37.3,34.8,14.6,7,6.3
E00054484,23.6,28.2,26.4,14.5,7.3
E00054485,16.7,34.2,28.3,15.8,5
E00054486,19.1,24.4,38.9,11.5,6.1
E00054488,37.8,18.1,26,14.2,3.9
E00054489,21.2,27.7,33.6,13.1,4.4
E00054490,7.2,34.8,42,12.3,3.6
E00054491,18.4,19.7,36.8,17.8,7.2
E00054492,12,32,33.3,18,4.7
E00054493,14.5,40.7,30.3,9,5.5
E00054494,23.1,24.5,33.6,15.4,3.5
E00054495,16.2,39,34.6,7.4,2.9
E00054496,40.4,22,16.5,11.9,9.2
E00054497,29.2,32.6,21.5,10.4,6.3
E00054498,14,20.2,57,7,1.8
E00054499,32.6,23.3,28.7,7,8.5
E00054501,18,44.1,30.6,7.2,0
E00054504,18.9,23.5,32.6,14.4,10.6
E00054505,16.5,32.2,31.3,12.2,7.8
E00054506,33.1,18.2,26.4,14,8.3
E00054507,17.6,25,33.1,15.4,8.8
E00054508,24,24,29.8,12.4,9.9
E00054509,24.3,31.6,30.1,8.8,5.1
E00054510,19.8,26.4,32.1,15.1,6.6
E00054511,24.8,34.5,31.5,6.1,3
E00054512,28.7,26.4,25.6,14,5.4
E00054513,38.8,27.5,27.5,4.5,1.7
E00054514,4.4,11.1,81.1,3.3,0
E00054516,21.7,28.9,31.6,13.2,4.6
E00054517,26.5,25.7,22.1,16.8,8.8
E00054519,16.5,26.3,42.1,12.8,2.3
E00054521,4.5,25,60.6,9.1,0.8
E00054522,17.7,30,30.8,15.4,6.2
E00054523,11.4,25,37.9,20,5.7
E00054574,5.7,13.5,69.5,9.9,1.4
E00054611,6.7,20,63.8,7.1,2.4
E00054617,16.9,20.1,47.4,11.7,3.9
E00054618,17.6,22.7,45.9,10.7,3
E00054620,15.9,31.8,37.7,9.9,4.6
E00054621,7.1,14.3,65.3,12.2,1
E00054622,40.7,11.1,44.4,2.5,1.2
E00054624,27.6,25.9,27.6,17.2,1.7
E00054626,38.2,27.3,21.8,9.1,3.6
E00054628,53,9.6,31.9,4.2,1.2
E00054629,26.3,29.8,33.3,8.8,1.8
E00054631,31.6,25.7,30.1,8.1,4.4
E00054632,18.6,28.6,36.4,12.9,3.6
E00054633,33.3,25.8,25,11.7,4.2
E00054636,33.6,30,19.1,9.1,8.2
E00054637,28.7,27.1,33.3,9.3,1.6
E00054638,26.7,30.7,34,7.3,1.3
E00054640,28.1,29.6,31.9,8.9,1.5
E00054641,6.1,25.7,50.7,12.8,4.7
E00054642,22.5,21,33.3,18.8,4.3
E00054643,32.4,24.8,27.6,11.4,3.8
E00054644,8.5,31,50,9.2,1.4
E00054645,5,26.9,53.8,8.4,5.9
E00054646,19,40.5,22.2,15,3.3
E00054647,12.4,34.1,27.1,15.5,10.9
E00054648,35.5,12.9,36.8,12.3,2.6
E00054649,27.4,33.1,25.8,9.7,4
E00054650,11.3,19.6,48.8,12.5,7.7
E00054652,10.1,18.7,51.8,12.9,6.5
E00054653,13.6,27.2,31.3,18.4,9.5
E00054654,13.5,36.8,33.1,14.3,2.3
E00054660,21.1,51.1,26.3,1.5,0
E00054661,37.7,36.2,21,3.6,1.4
E00054662,23.5,45,28.2,3.4,0
E00054663,42.5,40,16.7,0.8,0
E00054664,21.1,25.7,49.3,3.9,0
E00054665,50,35.2,13.9,0.8,0
E00054666,28.3,29.1,31.5,11,0
E00054667,29.9,32.3,31.5,3.9,2.4
E00054668,46.6,33.6,17.6,2.3,0
E00054669,57.9,28.1,12.3,1.8,0
E00054670,49,37.9,13.1,0,0
E00054671,45.5,38.1,16.4,0,0
E00054672,23,41.3,28.6,5.6,1.6
E00054673,11.8,51.2,35.4,1.6,0
E00054674,31.9,46.9,15.6,3.8,1.9
E00054675,20,31.5,44.6,3.8,0
E00054676,33.3,37.5,23.6,5.6,0
E00054677,24.3,48.6,24.3,2.7,0
E00054678,17,47.4,25.2,7.4,3
E00054679,39.7,37.4,18.3,3.1,1.5
E00054680,33.6,35.1,23.1,6,2.2
E00054681,49.1,30.4,18.8,1.8,0
E00054682,43.7,30.2,19,6.3,0.8
E00054684,23.7,57,17,2.2,0
E00054685,27.8,44.4,24.6,3.2,0
E00054686,43.6,38.6,15.7,2.1,0
E00054687,44.9,37.8,15.7,0.8,0.8
E00054689,22.1,39.7,36,2.2,0
E00054690,29.4,38.9,28.6,3.2,0
E00054691,35.5,28,28,6.5,1.9
E00054692,19.9,39.7,35.5,4.3,0.7
E00054693,43.7,27.8,24.6,3.2,0.8
E00054694,18.8,42.4,34.5,4.2,0
E00054695,40.2,32,27,0.8,0
E00054696,11.6,32.4,53.2,2.3,0.6
E00054697,9.1,33.1,47.9,9.1,0.8
E00054698,30.4,50,16.7,2.9,0
E00054699,46.3,35.5,16.5,1.7,0
E00054700,28.2,33.2,35,3.6,0
