areacd,hh_language-001,hh_language-002,hh_language-003,hh_language-004
E02000569,79.4,9.4,2,9.2
E02000570,82.8,7.5,1.2,8.5
E02000571,75.2,11.2,1.6,12
E02000572,66.4,17.5,3.1,13
E02000573,78,10.3,1.1,10.6
E02000574,75.7,9.6,1.1,13.6
E02000575,72.7,11.3,2.1,13.9
E02000576,71.5,11.6,3,13.9
E02000577,67.7,15.9,3,13.4
E02000578,72.4,14,3.2,10.4
E02000579,75.3,11.8,2.1,10.9
E02000580,76.2,9.7,1.8,12.4
E02000581,70.1,14.8,2.3,12.8
E02000582,74,7.8,1.5,16.8
E02000583,77.2,8.6,1.5,12.8
E02000584,72.4,10,2.6,15.1
E02000585,66.8,14.6,2.2,16.3
E02000586,65.2,12.5,2.4,19.9
E02000587,69.1,11,1.7,18.2
E02000588,69.3,8.8,2,19.8
E02000589,61.9,10.7,1.6,25.9
E02000590,70.6,9.7,1.4,18.3
E02000591,63,11,1.9,24.1
E02000592,66.9,11,2.5,19.6
E02000593,66.2,11.5,2.3,20
E02000594,75.6,9.9,1.5,13
E02000595,75.3,9.6,1.6,13.6
E02000596,70.8,12.3,1.4,15.6
E02000597,72,13.3,2.9,11.8
E02000598,80.9,9.1,3.1,6.8
E02000599,74.1,13.2,2.5,10.2
E02000600,74.1,9.5,4.1,12.4
E02000601,76.7,9,3,11.3
E02000602,73.8,9.4,3.1,13.7
E02000603,69,14.7,4.8,11.5
E02000604,71.5,11.6,4.2,12.7
E02000605,76.7,11.4,3.3,8.5
E02000606,78.5,8.6,1.9,10.9
E02000607,85.1,6.9,1.9,6.1
E02000608,80.9,7.2,1.6,10.3
E02000609,73.1,13.7,3,10.1
E02000610,82.4,6.8,1.9,8.9
E02000611,84.4,8.3,2.3,5.1
E02000612,81.9,9.5,2.4,6.2
E02000613,83.6,7,2.6,6.8
E02000614,70.1,12.7,3.9,13.2
E02000615,84,6.6,2.6,6.7
E02000616,88.3,4.3,2.4,5
E02000617,86.3,5.7,2.4,5.6
E02000619,74.6,11.3,2.8,11.4
E02000620,76.1,10.7,2.1,11.1
E02000621,70.5,10.5,1.3,17.7
E02000622,76.9,12.5,1.7,8.9
E02000623,69.3,14.1,3.3,13.3
E02000624,77.4,10.3,2.4,9.9
E02000625,66.8,14.7,3.2,15.3
E02000626,73.8,12.4,3.1,10.6
E02000627,75.9,11.3,2.3,10.5
E02000628,69,14.2,2.9,14
