geography_code,migrant_ind-000,migrant_ind-001,migrant_ind-002,migrant_ind-003
E02005654,91.4,0.2,7.5,0.9
E02005655,91.7,0.2,7.4,0.7
E02005656,88.7,0.3,10,1.1
E02005657,89.7,0.3,9.3,0.7
E02005658,87.7,0.5,10.1,1.7
E02005659,91.6,0.2,7.3,0.9
E02005660,92,0.1,7.2,0.7
E02005661,91.1,0.2,8,0.7
E02005662,89.6,0.7,8.7,1
E02005663,92.2,0.1,7,0.7
E02005664,86.1,0.7,11.6,1.7
E02005665,91.3,0.3,7.6,0.9
E02005666,90.9,0.2,8,0.9
E02005667,90.8,0.2,8.6,0.4
E02005668,91.6,0.2,7.6,0.6
E02005669,91.2,0.3,8,0.5
E02005670,81.1,1.1,14.7,3.1
E02005671,82.6,1.4,13.5,2.5
E02005672,76.8,1.9,17.3,4
E02005673,86.5,0.3,11.5,1.7
E02005674,76.1,1.7,17.8,4.4
E02005675,89.9,0.3,9,0.8
E02005676,90.1,0.5,8.7,0.7
E02005677,79.4,1.4,17.1,2.1
E02005679,90.3,0.3,8.5,0.9
E02005680,90.3,0.3,8.6,0.8
E02005681,93.1,0.2,6.4,0.3
E02005682,89.8,0.3,9.5,0.4
E02005683,91.2,0.2,8.1,0.5
E02005684,91.4,0.4,7.8,0.4
E02005685,87.2,0.2,12.2,0.5
E02005686,91.6,0.3,7.5,0.6
E02005687,89.8,0.3,9.6,0.3
E02005688,92,0.1,7.6,0.3
E02005689,90.9,0.2,8.5,0.4
E02005690,88.7,0.3,10.4,0.7
E02005691,89.8,0.2,7.1,2.9
E02005692,91,0.1,8.5,0.3
E02005693,91.6,0.3,7.4,0.7
E02005694,92.3,0.1,7,0.6
E02005695,85.6,0.2,12.3,1.9
E02005696,89.7,0,9.7,0.6
E02005697,86.8,0.2,11.9,1.1
E02005698,91.9,0.1,7.6,0.4
E02005699,91.6,0.1,7.8,0.5
E02005700,91.3,0.2,8.2,0.3
E02005701,92.5,0.2,7.1,0.2
