geography_code,english_proficiency_4a-001,english_proficiency_4a-002,english_proficiency_4a-003
E00187453,98.2,1.8,0
E00187460,99.7,0.3,0
E00187464,97.3,2.7,0
E00188954,95.5,4.1,0.4
E00188956,98.3,1.2,0.5
E00188962,80.1,15.4,4.5
E00188968,99,1,0
E00188971,97.6,2.1,0.3
E00188983,80.7,18.2,1.1
E00189014,85.3,14.7,0
E00189021,89,8.6,2.4
E00189072,91.1,8.3,0.6
E00189081,99,1,0
E00189090,81.3,16.4,2.3
E00189120,90,8.9,1.1
E00189137,87.9,9.8,2.3
E00189166,96.1,3.2,0.7
E00189170,97.8,2,0.3
