areacd,heating_type_3a-001,heating_type_3a-002
E00154437,0.6,99.4
E00154438,0,100
E00154439,0.8,99.2
E00154440,2.4,97.6
E00154441,0,100
E00154442,0,100
E00154443,1.6,98.4
E00154444,0.9,99.1
E00154445,2,98
E00154446,2.4,97.6
E00154447,3.3,96.7
E00154448,0,100
E00154449,1.7,98.3
E00154450,2.5,97.5
E00154451,2.5,97.5
E00169826,0.8,99.2
E00169827,7.4,92.6
E00169828,3.9,96.1
E00169829,4.7,95.3
E00169830,0.9,99.1
E00169831,0,100
E00169832,0,100
E00169833,0,100
E00169834,0,100
E00169835,0,100
E00169836,3.8,96.2
E00169837,0,100
E00169838,2,98
E00169839,5.3,94.7
E00169840,0,100
E00169841,0.7,99.3
E00169842,0.6,99.4
E00169843,0.9,99.1
E00169844,0,100
E00169845,1.3,98.7
E00169846,1,99
E00173899,0,100
E00173900,0.8,99.2
E00173901,1.7,98.3
E00173915,0,100
E00173916,1.1,98.9
E00184647,0.7,99.3
E00184649,0,100
E00184653,0,100
E00184655,0,100
E00184656,3,97
E00184657,0.7,99.3
E00184665,0,100
E00184671,0,100
E00184675,1.8,98.2
E00184677,6.3,93.7
E00184680,2.9,97.1
E00184687,0,100
E00184688,0,100
E00184689,7.5,92.5
E00184691,1.1,98.9
E00184706,0,100
E00184712,0,100
E00184714,1,99
E00184715,3.8,96.2
E00184716,0,100
E00184718,1.6,98.4
E00184721,0,100
E00184723,0,100
E00184724,7,93
E00187877,0.5,99.5
E00187904,2.6,97.4
E00187931,1.3,98.7
E00188001,0,100
E00188012,1.5,98.5
