areacd,hh_tenure_5a-000,hh_tenure_5a-001,hh_tenure_5a-002,hh_tenure_5a-003
E00126110,20.4,36.5,34.3,8.8
E00126111,22.1,31.1,41,5.7
E00126112,46.2,46.2,4.6,3.1
E00126113,33.6,35.9,24.2,6.3
E00126114,23.6,39.3,6.4,30.7
E00126115,47.6,39.7,9.5,3.2
E00126116,20.5,32.9,30.1,16.4
E00126117,20.2,24.4,47.9,7.6
E00126118,28.9,30.4,24.4,16.3
E00126119,29.5,36.4,3.8,30.3
E00126120,25.5,44,15.6,14.9
E00126121,29.5,43.2,7.9,19.4
E00126122,21.5,25.4,28.3,24.9
E00126123,22.6,35.5,21,21
E00126124,29.6,43.2,5.6,21.6
E00126125,35.9,48.6,0.7,14.8
E00126126,16.8,23.4,45.5,14.4
E00126127,44.9,39,1.5,14.7
E00126128,55.7,36.9,2.5,4.9
E00126129,55.7,37.7,1.9,4.7
E00126130,52.5,41.8,0.8,4.9
E00126131,24,33.3,4,38.7
E00126132,21.8,11.8,38.2,28.2
E00126133,36.5,44.2,1.9,17.3
E00126134,50.4,41.9,2.6,5.1
E00126135,32.3,43.6,2.3,21.8
E00126136,32.4,13,34.3,20.4
E00126137,44.3,44.3,0,11.5
E00126138,42,31.1,10.1,16.8
E00126139,33.7,20.4,37.8,8.2
E00126140,48.6,35.6,2.7,13
E00126141,49,43.4,0.7,7
E00126142,40.7,23.7,30.5,5.1
E00126143,41.9,32.3,6.5,19.4
E00126144,47.7,39.6,0,12.6
E00126145,46.7,29.5,21.3,2.5
E00126146,56.8,39,0,4.2
E00126147,40,49.3,4,6.7
E00126148,47.8,47.8,1.4,2.9
E00126149,48.4,38.3,3.9,9.4
E00126150,61.2,35.5,0,3.3
E00126151,47.8,41.2,0.7,10.3
E00126152,35,37.4,2.4,25.2
E00126153,29.8,14,48.2,7.9
E00126154,64.8,29.5,0.8,4.9
E00126155,38.6,42.5,0.7,18.3
E00126156,45.7,39.4,1.6,13.4
E00126157,39.4,45,2.8,12.8
E00126158,29.1,43.6,10.9,16.4
E00126159,42.1,30.7,24.6,2.6
E00157149,43.1,35.8,3.6,17.5
E00157150,45.7,44.9,0.7,8.7
E00157151,32.1,43.8,16.8,7.3
E00157152,45.5,37.1,3,14.4
E00157155,33.7,33.7,0,32.6
E00157156,41,37.3,10.4,11.2
E00157157,35,32.9,25,7.1
E00157158,46.8,35.5,11.3,6.5
E00161623,38.1,46.3,0.7,15
E00161624,42.7,42,0,15.3
E00161625,51.9,37.2,0.8,10.1
E00161626,55.8,33.8,0,10.4
E00161627,47.2,31.7,11.3,9.9
E00161628,40.1,41.4,7.9,10.5
E00161629,42.4,45.3,1.4,10.8
E00161630,38,20.4,32.1,9.5
E00161787,25.6,37.2,3.3,33.9
E00161788,55.4,39.6,0,5
E00161791,27.5,39.1,1.4,31.9
E00161794,37.5,34.6,2.9,25
E00161795,23.5,41.2,3.7,31.6
E00161796,34.1,45.2,1.6,19
E00161797,24.1,56.2,0.7,19
E00161798,25.2,25.2,41.2,8.4
