areacd,hh_deprivation-001,hh_deprivation-002,hh_deprivation-003,hh_deprivation-004,hh_deprivation-005
W00004016,37.5,40.1,10.5,11.2,0.7
W00004017,47.8,27.8,20.9,2.6,0.9
W00004018,41.1,33.1,19.4,6.3,0
W00004019,40.2,36.4,16.8,6.5,0
W00004020,44.9,36.2,11.8,7.1,0
W00004021,36.5,48.1,15.4,0,0
W00004022,45.5,32.7,16.8,4,1
W00004023,41.8,35.7,19.4,3.1,0
W00004025,36.9,32,18.4,12.6,0
W00004026,44.2,23.3,16.7,13.3,2.5
W00004027,35.4,38.6,19.6,6.3,0
W00004028,43.1,36.2,16.4,4.3,0
W00004030,53.3,30,13.3,3.3,0
W00004031,54,32.1,12.4,1.5,0
W00004032,49.2,33.3,10.6,6.1,0.8
W00004033,42.6,37.2,13.3,6.4,0.5
W00004034,39.7,43,15.2,2,0
W00004035,52.6,34.1,9.6,3,0.7
W00004036,38.8,34,16.3,10.9,0
W00004037,41.3,41.3,17.4,0,0
W00004038,32.7,36.4,21.8,9.1,0
W00004039,35.6,39.6,17.8,6.9,0
W00004040,28.6,26.9,28.6,16,0
W00004041,36.4,38.6,18.9,6.1,0
W00004042,34.1,30.9,26.8,6.5,1.6
W00004043,47.2,35.2,16.9,0.7,0
W00004044,40.1,33.8,21.7,4.5,0
W00004045,35,36.4,17.1,10.7,0.7
W00004046,42.6,40.7,16.7,0,0
W00004047,39.4,29.9,25.2,4.7,0.8
W00004048,30.7,40.6,23.8,5,0
W00004049,25.8,36.7,26.6,10.2,0.8
W00004050,37.1,33.6,24.1,5.2,0
W00004051,39.8,39.8,14.8,5.6,0
W00004052,67.9,25.9,5.4,0.9,0
W00004053,46.6,30.1,17.5,5.8,0
W00004054,49.3,35,13.6,2.1,0
W00004055,53.8,33.3,12.1,0.8,0
W00004056,32,36.1,18,13.9,0
W00004057,24.1,40.5,22.4,12.1,0.9
W00004058,23.6,46.3,23.6,6.5,0
W00004059,45.9,40.2,11.5,1.6,0.8
W00004060,55,36.6,7.6,0.8,0
W00004061,50.4,27.3,14.9,6.6,0.8
W00004062,34.3,38.1,20.1,7.5,0
W00004063,32.2,38.1,22.9,6.8,0
W00004064,54.5,34.1,9.8,1.6,0
W00004065,47.3,33.6,14.5,4.6,0
W00004066,28.8,32.4,31.5,7.2,0
W00004067,30.1,32.9,24.7,12.3,0
W00004068,16.2,45.5,35.4,3,0
W00004069,23.9,32.1,28.4,14.7,0.9
W00004070,47.2,30.9,17.9,4.1,0
W00004072,50.4,32.8,16.8,0,0
W00004073,57.1,29.3,11.5,2.1,0
W00004074,40.4,38.6,19.3,1.8,0
W00004075,51.9,30.8,12.2,5.1,0
W00004076,51.2,31.2,15.2,2.4,0
W00004077,44,27.2,17.6,11.2,0
W00004078,47.3,31,15.8,5.9,0
W00004079,44.3,28.2,22.8,4.7,0
W00004080,34.1,48,11.4,6.5,0
W00004081,53.4,35.9,9.2,1.5,0
W00004082,28.8,28.8,31.5,9,1.8
W00004083,26.1,43.2,22.5,8.1,0
W00004084,33.9,42.7,15.3,7.3,0.8
W00004085,45.8,37.4,16.1,0.6,0
W00004086,47.7,29.5,16.7,6.1,0
W00004087,36.8,42.7,16.2,4.3,0
W00004088,42,39.1,13.8,5.1,0
W00004089,43.9,35.1,18.4,2.6,0
W00004090,42.7,36.3,16.1,4.8,0
W00004091,24.1,45.1,26.3,4.5,0
W00004092,32.1,25.9,31.3,10.7,0
W00004093,24.2,39.5,25.8,10.5,0
W00004094,35.8,24.5,27.4,11.3,0.9
W00004095,18.8,46.1,20.3,14.8,0
W00004096,44.8,34.3,17.2,3.7,0
W00004097,48.4,33.6,15.6,2.3,0
W00004098,37.6,39.1,19.5,3,0.8
W00004099,39,39.8,17.1,4.1,0
W00004100,27.3,30,30,12.7,0
W00004101,44.5,43,11.7,0.8,0
W00004102,34.3,31.3,21.2,13.1,0
W00004103,46.5,32.5,20.2,0.9,0
W00004104,39.4,40.1,17.5,2.9,0
W00004105,48.6,35,13.6,2.9,0
W00004106,39.2,42.3,12.4,6.2,0
W00004107,39.5,42.9,13.4,4.2,0
W00004108,44.8,36.6,15.2,3.4,0
W00004109,44.1,30.1,22.4,3.5,0
W00004110,32.3,44.6,20,3.1,0
W00004111,31.3,33.7,24.1,10.8,0
W00004112,42,43.5,11.5,3.1,0
W00004113,51.2,29.5,15.5,3.9,0
W00004114,38.9,23.9,25.7,11.5,0
W00004115,44.3,31.1,14.8,9.8,0
W00004116,35.1,34.3,21.6,9,0
W00004117,56.8,30.3,10.6,2.3,0
W00004118,47.1,33.7,19.2,0,0
W00004119,29.3,35.3,23.3,11.2,0.9
W00004120,50.8,30,11.5,7.7,0
W00004121,45.9,32.4,16.2,5.4,0
W00004122,47.2,36.2,16.5,0,0
W00004123,31.1,29.5,25.4,13.9,0
W00004124,29.1,27.4,28.2,14.5,0.9
W00004125,53.8,34.2,9.4,2.6,0
W00004126,59.3,31.5,9.3,0,0
W00004127,54.3,38.8,6,0.9,0
W00004128,61.1,27.8,9.3,1.9,0
W00004129,57.9,33.1,8.3,0.8,0
W00004130,43,37.7,14.9,4.4,0
W00004131,53.8,33.3,10.6,2.3,0
W00004132,43,43,11.7,2.3,0
W00004133,48.9,35,13.9,2.2,0
W00004134,48.7,35.3,13.4,2.5,0
W00004135,55,33.6,11.5,0,0
W00004136,58.3,28.8,10.6,2.3,0
W00004137,62.5,25.8,10,1.7,0
W00004138,37.4,42.7,16,3.8,0
W00004139,47.2,35,16.3,1.6,0
W00004140,51,35.7,8.4,4.9,0
W00004141,64,24.3,9.9,1.8,0
W00004142,65.4,27.1,7.5,0,0
W00004143,63.3,27.9,8.8,0,0
W00004144,34.5,37.9,23,4.6,0
W00004149,22.6,45.1,22.6,9.8,0
W00004150,35.8,33.3,24.4,6.5,0
W00004151,42.9,35.7,14.3,6.3,0.8
W00004152,43.9,41.7,10.8,3.6,0
W00004153,37.6,39.9,13.3,9.2,0
W00004154,29.4,39.9,24.6,5.3,0.9
W00004155,19.2,42.3,28.5,10,0
W00004157,45.6,35.4,13.6,5.3,0
W00004158,37.3,36.5,19,7.1,0
W00004159,52.3,30.9,11.4,5.4,0
W00004171,44.5,28.6,20.2,6.7,0
W00004172,52.1,34.5,13.4,0,0
W00004173,45.8,34.7,12.5,6.9,0
W00004174,52.5,30.5,13.5,3.5,0
W00004175,60.2,31.4,6.8,1.7,0
W00004176,50.9,32.9,13,3.1,0
W00004177,55.6,34.9,9.5,0,0
W00004178,57.1,27.8,15.1,0,0
W00004179,47.1,33.9,14,5,0
W00004180,59.4,27.3,12.5,0.8,0
W00004181,56,37.1,6,0.9,0
W00004182,58.9,32.6,6.2,2.3,0
W00004183,35.5,39.3,21.5,3.7,0
W00004184,60.5,26.1,10.1,3.4,0
W00004186,56.7,29.2,12.5,1.7,0
W00004188,56.3,28.1,14.1,1.6,0
W00004189,53.3,35.2,10.5,1,0
W00004190,52.8,38.2,7.3,1.6,0
W00004191,52.3,30.8,16.2,0.8,0
W00004192,76.7,19,4.3,0,0
W00004196,44.1,38.2,15.7,1,1
W00004200,60.3,30.2,8.7,0.8,0
W00004201,49.3,32.4,17.6,0.7,0
W00004202,47,40.5,10.1,2.4,0
W00004203,53.7,32.5,13,0.8,0
W00004205,50,36.2,12.3,1.5,0
W00004206,48.1,36.5,13.5,1.9,0
W00004207,59,26.1,12.7,2.2,0
W00004208,22.2,43.3,28.9,5.6,0
W00004210,47.6,36.4,9.8,6.3,0
W00004211,50.8,37.3,10.2,1.7,0
W00004212,58.3,35,6.7,0,0
W00004213,60.4,27.1,12.5,0,0
W00004215,46.5,41.6,9.9,2,0
W00004216,48.7,37.8,11.8,1.7,0
W00004217,55.2,26.7,16.2,1.9,0
W00004218,44.9,38.1,16.1,0.8,0
W00004220,38.9,42.1,16.7,2.4,0
W00004221,33.3,25.6,29.9,10.3,0.9
W00004222,32.5,30,30,7.5,0
W00004223,38.2,35.1,20.6,4.6,1.5
W00004224,36.8,30.8,23.9,6.8,1.7
W00004225,43.5,31.3,21.4,3.8,0
W00004226,41.6,35.7,18.4,4.3,0
W00004227,37.7,39.9,15.2,7.2,0
W00004228,33.6,37.4,22.4,5.6,0.9
W00004229,36.6,32.9,23,7.5,0
W00004230,40,37.5,18.3,4.2,0
W00004232,44.6,37.7,11.5,6.2,0
W00004233,54.3,33.1,10.2,2.4,0
W00004234,37.1,37.1,18.5,7.3,0
W00004235,34.5,39.6,21.6,4.3,0
W00004236,35.9,39.8,19.5,4.7,0
W00004237,46.3,25,23.5,5.1,0
W00004238,34.1,39.5,20.9,5.4,0
W00004239,30.1,36.8,25,6.6,1.5
W00004240,36.2,39.1,19.6,5.1,0
W00004241,51.2,34.1,13,1.6,0
W00004242,59.1,29.3,9.1,2.4,0
W00004243,60.5,30.2,7.4,1.9,0
W00004244,50,25,21.2,3.8,0
W00004245,46.5,38.6,12.9,0,2
W00004246,63.5,30.9,5.6,0,0
W00004247,64.1,26.6,9.4,0,0
W00004248,57.1,33.8,7.5,1.5,0
W00004249,62.8,29.5,7,0.8,0
W00004250,70.2,25,4,0.8,0
W00004251,49.2,35.2,14.8,0.8,0
W00004252,66.5,28.4,4.7,0.5,0
W00004253,57.3,27.4,12.8,2.6,0
W00004254,54.2,33.3,12.5,0,0
W00004255,54.2,32.5,12.8,0.5,0
W00004256,62.6,29.1,6.9,1.5,0
W00004257,50.3,25.5,17.2,6.4,0.6
W00004258,50,26.9,18.1,5,0
W00004259,66.1,21.6,8.8,3.5,0
W00004260,69.2,26.7,4.2,0,0
W00004261,57.8,32,7.8,2.3,0
W00004262,59.4,30.1,9,1.5,0
W00004263,44.2,42.8,10.9,2.2,0
W00004264,35.7,31.3,23.6,9.3,0
W00004265,46.4,28,18.5,6,1.2
W00004266,66.3,19.7,11.1,2.9,0
W00004267,38,33.1,12.7,16.2,0
W00004268,33.8,29.3,27.8,8.3,0.8
W00004269,37.7,36.9,18.5,6.9,0
W00004270,40,41.7,18.3,0,0
W00004271,51.2,41.3,6.6,0.8,0
W00004272,64.8,27,7.4,0.8,0
W00004274,49.2,33.1,15.3,1.6,0.8
W00004275,43.7,34.8,20,1.5,0
W00004276,46.2,30.1,19.9,3.2,0.6
W00004277,46,36.5,15.3,2.1,0
W00004278,45.1,29.5,23.8,1.6,0
W00004279,40,36.8,20,3.2,0
W00004280,42.9,29.9,23.1,4.1,0
W00004281,36.8,32.4,20.6,10.3,0
W00004282,26.5,22.5,33.3,17.6,0
W00004283,33.6,44,20.7,1.7,0
W00004284,43.1,37.9,15,3.9,0
W00004285,49.2,27.9,13.1,9.8,0
W00004286,40.7,34.1,19.8,5.5,0
W00004288,44.9,40.9,12.6,1.6,0
W00004289,42.9,33.3,18.6,5.1,0
W00004290,49,33.6,14.1,3.4,0
W00004291,48.9,31.1,14.1,5.9,0
W00004292,56.7,28.3,10.2,4.7,0
W00004293,52.5,34.7,12.9,0,0
W00004294,50.3,32.2,14.7,2.8,0
W00004295,33.3,37.1,23.5,6.1,0
W00004296,29.1,28.3,33.1,9.4,0
W00004297,60.1,28.7,9.8,1.4,0
W00004298,43.9,35.6,17.4,3,0
W00004299,28.9,37.1,18.6,14.4,1
W00004300,63.1,24,11.6,1.3,0
W00004301,49.2,36.2,10.8,3.8,0
W00004302,46.2,33.3,18.9,1.5,0
W00004303,55.7,31.1,10.7,2.5,0
W00004304,29.2,33.3,31.3,6.3,0
W00004305,56.9,32.2,9.8,1.1,0
W00004306,47.5,31.2,19.9,1.4,0
W00004316,29.9,26.5,33.3,10.3,0
W00004317,29.9,39.6,23,7,0.5
W00004318,33.9,30.7,26.8,7.1,1.6
W00004320,52.5,33.3,11.3,2.8,0
W00004321,57.8,33,9.2,0,0
W00004322,49.5,38.3,9.3,2.8,0
W00004323,45,43.2,9.9,1.8,0
W00004324,53.2,33.3,11.9,1.6,0
W00004325,21.2,32.7,20,24.2,1.8
W00004326,27.7,37.8,27.7,6.7,0
W00004327,41.2,33.1,21.3,4.4,0
W00004328,48.1,30.2,17.9,3.7,0
W00004329,35.3,39.3,17.3,8,0
W00004330,35.7,39.5,17.8,7,0
W00004331,45.5,33.1,18.2,3.3,0
W00004332,36.1,40.3,18.1,5.6,0
W00004333,36.1,32.8,21.8,9.2,0
W00004334,28.2,30,30.9,10.9,0
W00004335,32.2,32.2,28.7,7,0
W00004336,37.9,33.9,23.4,4.8,0
W00004337,41.2,35.1,22.8,0.9,0
W00004338,26.8,35.5,23.2,13.8,0.7
