areacd,hh_size_5a-001,hh_size_5a-002,hh_size_5a-003,hh_size_5a-004
E02006816,23.3,36.7,17.2,22.9
E02006817,28.1,28.1,16.2,27.6
E02006818,25,33.4,17.5,24.1
E02006819,27.9,25.3,17.6,29.2
E02006820,26.3,36.3,16.3,21.1
E02006827,34.2,35,15,15.8
E02006828,24.9,39.2,18,17.8
E02006834,42.4,27.1,13.4,17.1
E02006835,27.5,38.1,17.7,16.8
E02006850,43.8,27.1,12.5,16.6
E02006851,52.7,32.5,8.7,6
E02006864,23.8,40.6,15.6,20
E02006865,23.2,39.1,18.4,19.2
E02006866,25.7,39.3,16.5,18.4
E02006867,30.4,39.9,14.3,15.4
E02006877,26.3,33.8,18.2,21.7
E02006878,20.5,26.8,21.2,31.6
E02006903,32.8,37.2,15.5,14.5
E02006904,45.6,37.7,9.5,7.2
E02006905,39.2,26.1,14.8,19.8
E02006906,26.6,38.9,16.1,18.3
E02006964,18.3,23,20.5,38.2
E02006965,21.8,25.1,18.7,34.4
E02006966,20.4,27.9,17,34.7
E02006967,19.9,28.7,19.2,32.2
E02007082,26.9,32.7,17.3,23.2
