geography_code,hh_tenure_5a-000,hh_tenure_5a-001,hh_tenure_5a-002,hh_tenure_5a-003
E00034856,17.5,15.1,52.4,15.1
E00034857,5,7.2,70.5,17.3
E00034858,63.3,16.7,5,15
E00034859,7.3,8.2,74.5,10
E00034860,19.3,35.1,18.1,27.5
E00034861,36.8,28.6,2.3,32.3
E00034862,6.6,5.4,63.1,24.9
E00034863,44.1,30.9,5.1,19.9
E00034864,10.2,7.8,64.1,18
E00034865,23.2,28.8,36.8,11.2
E00034866,39.7,15.7,19,25.6
E00034867,13,33.6,43.5,9.9
E00034868,36.3,25.8,4.8,33.1
E00034869,33.9,22.3,5,38.8
E00034870,28.6,24.1,29.3,18
E00034871,41.8,34.5,14.5,9.1
E00034872,23.2,19.4,8.4,49
E00034873,22.6,25.5,10.9,40.9
E00034874,50.8,36.7,4.7,7.8
E00034875,19.8,11.5,19.1,49.6
E00034876,29.3,25.9,32.8,12.1
E00034877,25.6,29.5,3.9,41.1
E00034878,22.3,20.1,23,34.5
E00034879,14.5,8.9,50,26.6
E00034880,3.8,8.6,76.2,11.4
E00034881,21.1,30.3,18.3,30.3
E00034882,8.4,8.4,67.2,16
E00034883,41.7,30.7,18.9,8.7
E00034884,31.4,12.4,4.1,52.1
E00034885,20.2,32.5,8.6,38.7
E00034886,24.8,35.4,20.4,19.5
E00034887,9.6,10.6,68.1,11.7
E00034888,31.5,31.5,2.7,34.2
E00034889,6.8,10.8,56.1,26.4
E00034890,50,35,0,15
E00034891,52.1,29.8,9.9,8.3
E00034892,70.2,22.9,0,6.9
E00034893,46.5,24.6,13.2,15.8
E00034894,59.3,25.4,2.5,12.7
E00034895,54,35,4.4,6.6
E00034896,50.3,32.3,4.5,12.9
E00034897,57.5,38.6,3.1,0.8
E00034898,69.7,24.6,0,5.7
E00034899,55.5,28.9,10.9,4.7
E00034900,30.2,34.9,28.7,6.2
E00034901,48.7,30.1,3.5,17.7
E00034902,55,30,5,10
E00034903,52.4,31.9,6,9.6
E00034904,58.3,35.4,0,6.3
E00034905,60.5,25.2,3.4,10.9
E00034906,40.1,31.4,9.5,19
E00034907,52.7,36.6,0,10.8
E00034908,55.7,32.1,2.8,9.4
E00034909,27.2,28.1,34.2,10.5
E00034910,47.3,33.3,10.1,9.3
E00034911,39,29.7,11.9,19.5
E00034912,59.2,32.8,2.4,5.6
E00034913,68.5,25.2,1.6,4.7
E00034914,63.8,31.5,3.1,1.6
E00034915,63.8,26.8,3.1,6.3
E00034916,37.4,33.3,8.9,20.3
E00034917,58.4,31.2,4,6.4
E00034918,65.9,28.5,1.6,4.1
E00034959,26.4,34,20.8,18.9
E00034966,31.1,28.1,11.1,29.6
E00034967,37.5,22.5,9.2,30.8
E00034969,33.3,29.8,6.1,30.7
E00034986,42.3,32.1,21.9,3.6
E00034987,61.5,24.6,8.2,5.7
E00035004,52.7,39.5,2.3,5.4
E00035005,44,27,2.8,26.2
E00035006,21.1,18,54.1,6.8
E00035007,9.2,9.2,81.7,0
E00035008,27.5,25.2,38.2,9.2
E00035009,18.6,22.5,26.4,32.6
E00035010,14.6,9.8,64.6,11
E00035011,69.2,23.1,0,7.7
E00035012,11.6,9.9,69.4,9.1
E00035013,27.3,21.1,29.7,21.9
E00035014,5.6,4.9,85.4,4.2
E00035015,19.5,21.5,41.6,17.4
E00035033,5.6,4,63.2,27.2
E00035034,41.1,42.6,2.1,14.2
E00035035,14.6,34.1,27.6,23.6
E00035045,23.6,25.7,37.1,13.6
E00035046,24,23.2,48,4.8
E00035047,46.5,34,4.2,15.3
E00035048,24.2,20,45.8,10
E00035049,33.3,41.8,9.2,15.6
E00035050,51.1,37.4,4.6,6.9
E00035051,36.1,37,1.7,25.2
E00035052,39.9,35.7,2.8,21.7
E00035053,51,30.8,3.5,14.7
E00035054,27.5,34.5,4.2,33.8
E00035055,54.5,40.5,1.7,3.3
E00035056,32.8,56.3,0,10.9
E00035057,40.9,34.6,11.8,12.6
E00035058,13,51.9,10.6,24.5
E00035059,17.6,12.2,57.3,13
E00035060,27,17.5,38.9,16.7
E00035061,12.1,27.1,41.4,19.3
E00035062,13.6,17.1,56.4,12.9
E00035063,38.8,26.9,14.9,19.4
E00035064,25.4,26.2,42.1,6.3
E00035065,53.9,43,0,3.1
E00035066,43.6,45.9,2.3,8.3
E00035067,45.7,47.1,0.7,6.5
E00035068,56.5,37.4,0,6.1
E00035069,56.9,36.2,0.8,6.2
E00035070,53.5,39.5,3.1,3.9
E00035071,63.1,36.9,0,0
E00035072,46.5,41.9,5.4,6.2
E00062877,46.6,43.1,0,10.3
E00062889,50,31.7,0,18.3
E00129369,20.1,21.8,32.4,25.7
E00129374,4,9.6,66.4,20
E00129375,10.1,13,46.4,30.4
E00129376,15.8,16.5,41,26.6
E00129377,15,13.5,50.4,21.1
E00129378,19.9,19.9,37.7,22.5
E00129379,6.4,11.4,60,22.1
E00129420,28.7,35.7,18.6,17.1
E00129424,9.5,9.5,71.4,9.5
E00129425,53.7,31.4,5,9.9
E00129426,26,27.6,22,24.4
E00129427,18.7,20.7,39.3,21.3
E00129428,18.5,25.2,29.6,26.7
E00129429,20.6,17.6,21.4,40.5
E00129430,11.7,18.3,52.5,17.5
E00129431,19,23.3,26.7,31
E00129432,17.4,25.8,23.5,33.3
E00129568,34,51.5,7,7.5
E00129574,49.6,36.7,5,8.6
E00129575,53.7,36.9,0.7,8.7
E00129576,34.6,49.6,6,9.8
E00129582,44.1,36.6,11,8.3
E00129583,33.6,19,31,16.4
E00129584,30.5,37.6,17,14.9
E00129586,34.9,54.4,0,10.7
E00129587,56.4,26.7,4.2,12.7
E00168427,24.8,13.4,33.6,28.2
E00168428,8.1,5.9,7.6,78.4
E00168429,14.1,28.9,5.2,51.9
E00168437,31.5,57.4,2.8,8.3
E00168438,18.7,34.7,32,14.7
E00168439,15.7,54.1,18.2,11.9
E00168447,8.8,21.6,59.8,9.8
E00168454,26.4,70.4,0,3.2
E00168471,20.5,21.3,4.1,54.1
E00168486,22,70.3,1.1,6.6
E00168491,25.2,68.9,0,5.9
E00168493,41.9,49.5,0,8.6
E00168494,27.6,70.7,0.9,0.9
E00176988,13,81.3,1,4.7
E00176990,53.6,29.9,12.4,4.1
E00176997,26.8,51.4,2.2,19.6
E00176998,29.9,22.4,11.9,35.8
E00176999,19.2,66.7,9.1,5.1
E00177006,24.3,63.9,0.6,11.2
E00177014,8.9,75.6,6.7,8.9
E00177020,3.6,4.8,9.6,81.9
E00177024,38.5,36.7,10.1,14.8
E00177028,8.4,82.4,6.7,2.5
E00177029,21.6,37.9,4.3,36.2
E00181414,22,62.7,0.8,14.4
E00181415,34.4,63.9,0,1.6
E00181419,32.6,61.1,0,6.3
E00181432,76,13.5,1.9,8.7
E00181434,5.8,86.2,0.5,7.4
E00181436,17.1,70.9,1.9,10.1
E00181445,13.1,82.4,0,4.6
E00181472,37.1,53.9,2.2,6.7
E00181490,24.6,71.9,1.8,1.8
