geography_code,hours_per_week_worked-001,hours_per_week_worked-002,hours_per_week_worked-003,hours_per_week_worked-004
E00172921,8.8,10.8,73,7.4
E00172923,7.7,6.7,67.9,17.7
E00172928,7.2,16.9,69.9,6
E00172929,4.7,5.3,75.1,14.8
E00172931,7.4,14.9,70.3,7.4
E00172937,5.7,7.6,70.5,16.2
E00172946,7.3,6,78.7,8
E00172948,4.3,5.1,83.8,6.8
E00172949,7.6,19.3,69.7,3.4
E00172988,7.7,6.5,76.8,9
E00172990,5.7,5,78.6,10.7
E00172991,5,6,82.3,6.7
E00173022,9.8,12.5,66.8,10.8
E00173026,8.5,11.9,70.6,9
E00175805,36.1,16.7,47.2,0
E00175807,23.7,17.3,54,5
E00175808,34.3,8.6,53.5,3.5
E00175809,11.7,24.1,54.7,9.5
E00175810,9.8,8.9,75.9,5.4
E00175814,4.9,9,77.8,8.3
E00175815,28.8,21.3,43.8,6.3
E00175818,32.7,21.8,40.6,5
E00175823,2.7,13.7,78.8,4.8
E00175826,29.6,31.6,38.8,0
E00175827,9.2,14.2,58.3,18.3
E00175828,17,19.3,62.5,1.1
E00175830,22.3,23.4,50,4.3
E00175835,7.6,16.7,68.2,7.6
E00175836,13.7,15.4,60.6,10.3
E00175837,10.5,21.9,59,8.6
E00175838,7.1,28.2,60.3,4.5
E00175840,3.3,8.6,79.9,8.2
E00175842,10,0,63.3,26.7
E00175844,3.6,12.3,69.6,14.5
E00175845,3.7,9.3,71,15.9
E00175846,5.5,5.5,78.7,10.2
E00175849,13.6,23.8,57.1,5.4
E00175852,6.1,7.8,74.9,11.2
E00175853,0,6.2,75.3,18.5
E00175855,4,9.5,75,11.5
E00175863,18.4,13.2,53.7,14.7
E00175864,9.1,7.6,78.6,4.7
E00175865,2,3.2,80.8,14
E00175866,3.4,10.9,79.6,6.1
E00175867,4.7,7.7,81.1,6.5
E00175868,7.9,7.9,71.9,12.3
E00175869,7,5.5,77.3,10.2
E00175870,8.3,11.5,73.9,6.3
E00175872,6.1,5.7,82.8,5.3
E00175880,13.9,15.2,60.8,10.1
E00175881,8.9,14.3,66.7,10.1
E00175882,13.3,29.2,46.9,10.6
E00175883,11.5,18,66.9,3.6
E00175896,6.9,16,67.9,9.2
E00175905,4.3,7.3,80.1,8.3
E00175907,18.1,18.6,55.9,7.3
E00175908,16.8,15.1,61.5,6.7
E00175909,3.3,6.1,81.6,9
E00175910,0.7,9,81.9,8.3
E00175911,11,13.7,67,8.2
E00175912,9.4,12.2,71.9,6.5
E00175913,2.1,28.1,64.6,5.2
E00175914,2.3,6.9,74.1,16.7
E00175915,2.2,8.2,79.4,10.1
E00175917,3.1,3.1,76.2,17.6
E00175918,10.1,25.9,61.9,2.2
E00175919,7.4,22.3,66.1,4.1
E00175920,13.2,18.6,62,6.2
E00175921,15.6,21.3,58.2,5
E00175930,8.3,30.6,54.2,6.9
E00175932,15.1,23.6,57.5,3.8
E00175933,13.8,19,63.8,3.4
E00175959,26.4,9.7,58.3,5.6
E00175960,12.6,9.2,66.4,11.8
E00175961,14.1,8.5,64.1,13.4
E00175963,13.2,7.7,65.9,13.2
E00175964,2.9,5.9,81.4,9.8
E00175965,10.9,8,71.6,9.5
E00175967,7.4,29.1,58.8,4.7
E00175968,13.6,23.7,57.6,5.1
E00175972,19,9.2,66.3,5.5
E00175973,9.3,13.1,68.2,9.3
E00175974,6.4,19.1,67.4,7.1
E00175983,4.5,7.1,79.2,9.1
E00175984,5.2,6.5,73.9,14.4
E00175985,7.8,9.2,73.2,9.8
E00175986,6,13.1,63.1,17.9
E00175987,2,6.5,81,10.5
E00175988,7.7,14.4,70.2,7.7
E00175989,9.9,0.7,77,12.5
E00175990,2.5,8.6,75.7,13.2
E00175991,9.9,13.5,59.5,17.1
E00175992,10.4,10.4,68.7,10.4
E00175993,6,12.1,68.1,13.8
E00175994,7.8,6.5,69.9,15.7
E00175995,5.7,8.9,77.2,8.1
E00175996,4.5,4.5,82.8,8.3
E00175998,5.7,5.7,73.2,15.4
E00175999,5,8.1,69.8,17.1
E00176001,10,6.4,73.1,10.5
E00176003,2.7,6.8,79.6,10.9
E00176004,12.2,6.4,76.9,4.5
E00176006,3.6,4.8,78.4,13.2
E00176007,7.7,10.3,69.2,12.8
E00176008,0,17.3,66.7,16
E00176009,6.8,6.1,79.5,7.6
E00176010,7.4,4.8,78.2,9.6
E00176019,22.2,22.2,47.9,7.8
E00176020,24.5,23.1,47.6,4.8
E00176021,15.5,35,41.4,8.2
E00176022,23.6,21.3,50.6,4.5
E00176024,7.2,2.9,80.4,9.4
E00176025,3.4,12.1,72.4,12.1
E00176026,14.1,29.7,50,6.3
E00176027,43.8,21.9,32.9,1.4
E00176028,7.9,9.2,72.4,10.5
E00176029,5.5,9.6,69.9,15.1
E00176030,61.3,12,22,4.7
E00176032,9.5,8.5,72.5,9.5
E00176034,7.1,8.6,77.8,6.5
E00176035,2.6,6.6,78.1,12.6
E00176039,15.1,15.1,59.7,10.1
E00176040,9.9,25.4,57.7,7
E00176042,6.4,28.1,60.2,5.3
E00176043,9.1,35.4,47.5,8.1
E00176044,7.6,22.8,62,7.6
E00176045,12.5,11.7,67.5,8.3
E00176050,7.5,9.6,74,8.9
E00176052,2.8,8.7,75.2,13.3
E00176053,7.8,9.5,68.1,14.7
E00176054,13,9.7,69.1,8.2
E00176057,2.7,4.7,81.1,11.5
E00176059,3.8,10.9,76.5,8.7
E00176062,7.8,6.1,72.8,13.3
E00176063,4.4,9.7,75.2,10.6
E00176064,12,19.3,62.7,6
E00176073,9.2,21.4,59.5,9.9
E00176075,8.7,14.1,69.6,7.6
E00176076,4.6,10.1,76.1,9.2
E00176077,10.2,14.1,64.8,10.9
E00176078,9.7,20.9,66.4,3
E00176080,6.2,5.9,77.6,10.3
E00176081,25.3,18.4,51.7,4.6
E00176086,2.4,9.6,76.8,11.2
E00176087,11,11,65.3,12.7
E00176089,3.2,13.5,73.5,9.7
E00176090,10.4,26.1,56.5,7
E00176093,20.7,24.1,48.3,6.9
