areacd,hours_per_week_worked-001,hours_per_week_worked-002,hours_per_week_worked-003,hours_per_week_worked-004
E00165411,12.3,24.5,47.7,15.5
E00165412,9.4,19.4,55,16.2
E00165413,10.4,20.8,60.4,8.5
E00165414,7.1,21.3,57.4,14.2
E00165415,16.2,10.3,61.8,11.8
E00165416,16.8,15.8,54.5,12.9
E00165417,10.6,24.2,50,15.2
E00165418,6,24,54,16
E00165419,4.5,18.8,67,9.8
E00165420,10.4,20.3,59.9,9.3
E00165421,12,19,60.8,8.2
E00165422,11.3,18,60.9,9.8
E00165423,8.7,24.3,59,8.1
E00165424,10.6,24,54.8,10.6
E00165425,7.9,21.3,59,11.8
E00165426,6.1,38.8,49,6.1
E00165427,4.8,24.8,62.8,7.6
E00165428,11.2,25.9,57.8,5.2
E00165429,16.5,23.9,48.6,11
E00165431,6.6,28.7,54.9,9.8
E00165432,5.1,22,60.2,12.7
E00165433,8.1,19.9,63.2,8.8
E00165434,5.7,18.1,62.9,13.3
E00165435,5.6,23.1,63,8.3
E00165436,6.7,17.7,65.2,10.4
E00165437,4.2,21,63,11.8
E00165438,7.3,20.3,61.8,10.6
E00165439,7.5,24.5,61,6.9
E00165440,10,36,50,4
E00165441,7.7,22.4,65.7,4.2
E00165442,8,25,59.8,7.1
E00165444,7.3,26.3,57.7,8.8
E00165445,11.9,26.7,59.3,2.2
E00165446,12.7,19,63.5,4.8
E00165447,11.3,22,55.9,10.7
E00165448,9.9,24.7,54.3,11.1
E00165449,13,24.4,49.6,13
E00165450,9.2,21.3,61,8.5
E00165451,3.9,26.6,63.3,6.3
E00165452,14.7,24.1,50.6,10.6
E00165453,7,18.7,63.2,11.1
E00165454,5,24.8,62.8,7.4
E00165455,6.5,27.3,55.2,11
E00165456,10.1,18.8,57.7,13.4
E00165457,13.6,21.8,59.1,5.5
E00165458,12.2,21.6,55.4,10.8
E00165459,7.9,22.9,62.6,6.6
E00165460,8.3,26.4,57.9,7.4
E00165461,11.9,25.6,48.8,13.7
E00165462,7.9,20,63.7,8.4
E00165463,7.8,23.5,55.4,13.3
E00165464,4.5,20.9,59.7,14.9
E00165465,10.2,18.1,61,10.7
E00165466,10.1,22.8,59.7,7.4
E00165467,8.9,25.5,57.3,8.3
E00165468,9.2,22,61.3,7.5
E00165469,9,25.4,56.6,9
E00165470,9.1,22.7,55.2,13
E00165471,6,27.4,57.1,9.5
E00165472,12.3,26.3,49.1,12.3
E00165473,6.6,23.1,56,14.3
E00165474,6.9,21.5,63.1,8.5
E00165475,11.2,21.3,56.2,11.2
E00165476,8.4,27.7,57.4,6.5
E00165477,10.8,18.1,50.6,20.5
E00165478,9.9,18.3,60.3,11.5
E00165479,15.6,17.5,57.5,9.4
E00165480,7.8,25.3,60.2,6.6
E00165481,9,22,61,8
E00165482,8.5,26.6,55.3,9.6
E00165483,7.9,17.6,68.2,6.3
E00165484,8.9,14.1,67,9.9
E00165486,11,21.5,57.6,9.9
E00165488,8.7,18.8,64.4,8.1
E00165489,9.7,20.7,60,9.7
E00165490,6.9,19,58.6,15.5
E00165491,12.2,22.4,56.1,9.2
E00165492,9.4,21.7,58,10.9
E00165493,6.3,17.5,64.3,11.9
E00165494,7.9,24.3,57.2,10.5
E00165495,5.2,23.1,56.7,14.9
E00165496,9,27.8,51.4,11.8
E00165497,6.9,22.1,61.4,9.7
E00165498,4.9,16.5,68.3,10.4
E00165499,5.5,19.3,64.6,10.5
E00165500,9.5,22.2,58.7,9.5
E00165501,7.3,23.2,62.9,6.6
E00165502,9.3,23.8,58.3,8.6
E00165503,14.9,21.4,54.5,9.1
E00165504,8.4,22.2,56.3,13.2
E00165505,4.5,20.9,66.4,8.2
E00165506,3.7,22.2,65.4,8.6
E00165507,7.5,18.9,63.2,10.4
E00165508,12.2,19.9,57.1,10.9
E00165509,6.1,17.4,67,9.6
E00165510,9.6,19.1,64.3,7
