areacd,workplace_travel_4a-001,workplace_travel_4a-002,workplace_travel_4a-003,workplace_travel_4a-004
E00144264,57.5,20.9,9.7,11.9
E00144265,51.5,19.4,10.7,18.4
E00144266,34.8,31.7,16.1,17.4
E00144302,18.6,44.9,23.1,13.5
E00144303,29.6,30.1,18.9,21.4
E00144304,20.4,32,29.8,17.7
E00144305,15.9,43.9,22,18.3
E00144306,27.3,35.1,19.5,18.2
E00144308,35.2,30.9,17.9,16
E00144309,35.1,35.1,14.6,15.2
E00144310,26.2,34.5,15.5,23.8
E00144311,27.9,33.9,15.8,22.4
E00144312,22.1,35.4,25.7,16.8
E00144313,19.2,39.2,24.8,16.8
E00144314,32.3,30.2,22.9,14.6
E00144315,22.4,31.6,28.2,17.8
E00144316,18.6,32.4,29.4,19.6
E00144317,16.7,50,30,3.3
E00144318,8.3,44,27.4,20.2
E00170734,38.1,30.5,18.4,13
E00173398,35.3,19,24.2,21.6
E00173399,34.8,23.8,23.3,18.1
E00173400,39.9,24.6,24.1,11.4
E00173401,48.2,16.7,22.6,12.5
E00173402,37.4,22.4,27.6,12.6
E00173403,39.9,19,23.4,17.7
E00173404,47.2,24,21.5,7.3
E00173405,44.9,17.6,25.7,11.8
E00173406,37.1,24.2,26.8,11.9
E00173407,37.4,22.6,28.4,11.6
E00173408,42.4,16.7,26.3,14.6
E00173409,40.6,14.5,27.5,17.4
E00173410,39.6,19.4,25.4,15.7
E00173411,41.1,22.3,19.4,17.1
E00173412,54.7,13.7,18.9,12.6
E00173413,38.7,23.4,24.7,13.2
E00173414,54.4,16.2,16.9,12.5
E00173415,42.4,20.1,25.7,11.8
E00173416,45.9,20.2,19.9,14
E00173417,40.9,20.1,26.2,12.8
E00173418,41.4,23.6,25.7,9.4
E00173419,31.9,25.5,27,15.7
E00173420,37.8,18,26.1,18
E00173421,24.6,40.4,24.6,10.5
E00173422,12.5,28.1,42.7,16.7
E00173438,44.4,20.2,16.1,19.4
E00173439,39.3,24.4,22.6,13.7
E00176776,26.9,36.5,23.7,12.8
E00176782,32.9,35.4,11.2,20.5
E00176783,39.3,20.5,27,13.1
E00176795,60.2,15.5,6.8,17.5
E00176797,37.6,20.8,26.7,14.9
E00176800,60.7,21.5,11.2,6.5
E00176806,30.6,36.5,21.2,11.8
E00176813,54.7,21.4,9.4,14.5
E00176820,42,27.5,13,17.5
E00176831,33.1,35.9,13.5,17.5
E00176839,44.9,26.8,18.5,9.8
E00176847,28.6,28.3,28.3,14.9
E00176851,42.2,16.9,26.6,14.3
E00176856,34.3,25.4,27.1,13.3
E00176857,24.6,37.7,32.8,4.9
E00176859,51,27.6,6.1,15.3
E00176869,34.2,39.5,10.5,15.8
E00176874,28.3,34.2,24.6,12.9
E00176886,38.7,26.4,24.5,10.4
E00176894,31.2,29.3,23.4,16.1
E00176897,54.4,21.3,8.8,15.4
E00176898,67.2,20.2,8.4,4.2
E00176905,37.2,19.8,27.9,15.1
E00176910,42.6,33.7,14.9,8.9
E00176911,39.4,30.9,17.9,11.8
E00180296,33.3,34.9,18.5,13.2
E00180332,54.8,29,4.8,11.3
E00180383,28.1,39.7,17.4,14.9
