areacd,migrant_ind-000,migrant_ind-001,migrant_ind-002,migrant_ind-003
E00109225,95.1,0,4.9,0
E00109226,90.7,0,8.4,0.9
E00109228,93.6,0,6.4,0
E00109229,92.4,0,6.3,1.3
E00109230,89.3,0,10.7,0
E00109231,94.1,0.7,4.6,0.7
E00109232,97.1,0.7,2.3,0
E00109234,95.7,0.5,3.9,0
E00109235,90.7,0,9.3,0
E00109236,88.5,0.9,10.6,0
E00109237,94.6,0,5.4,0
E00109238,88.8,0,10.2,1
E00109239,91.6,0,8.1,0.3
E00109240,95.8,0,4.2,0
E00109241,96.1,0,3.9,0
E00109242,95.9,0.6,3.5,0
E00109243,95.2,0.3,4.5,0
E00109244,92.3,0,7.3,0.4
E00109245,94.8,0,5.2,0
E00109246,97,0,2.3,0.7
E00109247,93.3,0,6.7,0
E00109248,94.1,0,5.9,0
E00109249,95.3,0.7,4,0
E00109250,91.2,0,8.5,0.3
E00109251,94.8,0,5.2,0
E00109252,90.7,0,9.3,0
E00109253,93.1,0,6.9,0
E00109254,94.7,0,5.3,0
E00109255,94.5,0.5,4.8,0.3
E00109256,90.4,0,9.6,0
E00109257,93.5,0,6.5,0
E00109258,94.7,0,5.3,0
E00109259,94.8,0,4.7,0.5
E00109260,91.3,0.3,8.3,0
E00109261,93.9,0.2,5.4,0.5
E00109262,87.1,0,12.9,0
E00109263,93.4,0,6.3,0.3
E00109264,91.6,1,7,0.3
E00109265,96.1,0,3.9,0
E00109266,91.1,0.2,8.1,0.5
E00109267,92.4,0,7.6,0
E00109268,97.7,0,2.3,0
E00109269,94.6,0,5,0.4
E00109270,95,0,5,0
E00109271,83.6,0,14.2,2.2
E00109272,91.7,0.6,7.8,0
E00109273,91.7,0,7.9,0.4
E00109274,88.7,0,11.3,0
E00109275,93.2,0.2,6.7,0
E00109276,91.8,0.4,7.2,0.7
E00109277,95.2,0.3,4.4,0
E00109279,93.9,0,5.8,0.3
E00109280,93.9,0,5.8,0.3
E00109281,89.4,0,10.3,0.3
E00109282,93.8,0,6.2,0
E00109283,91.8,0,8.2,0
E00109284,92.1,0,7.9,0
E00109285,94.1,0,5.9,0
E00109286,97.2,0,2.5,0.4
E00109287,95.1,0,4.9,0
E00109288,93.9,0,5.8,0.3
E00109289,96,0,4,0
E00109290,94.4,0.6,5,0
E00109291,94.3,0,5.7,0
E00109292,89,0,11,0
E00109293,94.1,0,5.9,0
E00109294,89.6,0,10.4,0
E00109295,93.6,0.3,6.1,0
E00109296,95.8,0,4.2,0
E00109297,98.7,0,1.3,0
E00109298,91.6,0.3,8.1,0
E00109299,91.9,0,6.3,1.7
E00109300,93.6,0.3,5.4,0.8
E00109301,95,0,5,0
E00109302,91.2,0,8.4,0.3
E00109303,94.4,0,5.2,0.3
E00109304,94.8,0,5.2,0
E00109305,93.3,0.6,6.1,0
E00109306,95.8,0,4.2,0
E00109307,91.2,0.3,8.1,0.3
E00109308,92.2,0,7.2,0.7
E00109309,93.2,0,6.8,0
E00109310,87.2,0.2,12.6,0
E00109311,87,0.8,11.7,0.4
E00109312,93.3,0,6.4,0.3
E00109313,89.8,0,9.8,0.4
E00109314,92.2,0.4,7.4,0
E00109315,92.1,0.3,6.7,0.9
E00109316,93.7,0,6.3,0
E00109317,90.7,0.3,9,0
E00109318,92.6,0.3,6.8,0.3
E00109319,90.6,0,9.1,0.3
E00109320,94,0,5.7,0.4
E00109321,85.3,0,13.8,0.9
E00109322,88.3,0,11.7,0
E00109323,90.2,0,9.8,0
E00109324,91.7,0,7.9,0.3
E00109325,82.3,0,17.7,0
E00109326,90.9,0,8.1,1
E00109327,86.4,0,12.9,0.7
E00109328,90.5,0,8.9,0.6
E00109329,94.4,0.4,5.2,0
E00109330,96.6,0,3.1,0.3
E00109331,96.2,0,3.8,0
E00109332,92.1,0.4,7.1,0.4
E00109333,90,0,9.3,0.7
E00109334,94.4,0,5.6,0
E00109335,93.5,0,5.8,0.7
E00109336,95.3,0,4.7,0
E00109337,86.3,0.5,13.1,0
E00109338,90.5,0,9.5,0
E00109339,90,0,10,0
E00109340,94.6,0,5.4,0
E00109341,93.6,0,6.4,0
E00109342,90.5,0,9.5,0
E00109343,93.7,0.4,6,0
E00109344,92.6,0,7.4,0
E00109345,92.8,0,7.2,0
E00109346,94.5,0,5.5,0
E00109347,91.9,0.3,7.8,0
E00109348,94.4,0,5.6,0
E00109349,94.7,0,5.1,0.3
E00109350,91.1,0,8.6,0.3
E00109351,94.7,0,5.3,0
E00109352,93.7,0,6,0.3
E00109353,99.4,0,0,0.6
E00109354,92.2,0,7.8,0
E00109355,97.5,0,2.5,0
E00109356,95.6,0,4.1,0.3
E00109357,91.2,0,7.8,1
E00109358,92.6,0,7.4,0
E00109359,86.5,0,13.1,0.4
E00109360,94.4,0.3,5.3,0
E00109361,92.4,0.3,7.3,0
E00109362,91.7,0.3,8,0
E00109363,93.4,0.4,4.9,1.2
E00109364,91.7,0.4,7.9,0
E00109365,96.7,0.6,2.7,0
E00109366,91.3,0.3,7.8,0.6
E00109367,95.8,0,4.2,0
E00109368,87.6,0,12.4,0
E00109369,89.9,0,9.1,0.9
E00109370,89,0,10.7,0.3
E00109371,88.4,0,11.6,0
E00109372,95.4,0,4.6,0
E00109373,90.7,0,8.9,0.4
E00109374,93.4,0,6.6,0
E00109375,94.8,0,5.2,0
E00109376,94.5,0,5.5,0
E00109377,90.5,0.4,8.7,0.4
E00109378,91,0,9,0
E00109379,95,0,4.6,0.4
E00109380,94.2,0,5.2,0.6
E00109381,89.4,0.3,9.7,0.6
E00109382,92.6,0.4,5.3,1.8
E00109383,82.4,0,17.3,0.2
E00109384,93.9,0,6.1,0
E00109385,91.1,0,8.9,0
E00109386,93.6,0,6.4,0
E00109387,93.7,0,6.3,0
E00111312,94.6,0,5.4,0
E00111313,92.9,0.4,6.7,0
E00111315,94.3,0,5.7,0
E00111316,95.5,0,4.5,0
E00111317,92.1,0.3,6.9,0.8
E00111318,94.4,0,5.6,0
E00111333,77,0.2,22.4,0.4
E00111334,92.4,0,7.3,0.2
E00111335,94.7,0,5.3,0
E00111336,98.6,0,1.4,0
E00111338,95.3,0,4.7,0
E00111339,97.7,0,2.3,0
E00111340,92.1,0.3,7.6,0
E00111341,97.6,0.3,1.3,0.8
E00111342,89.2,0.3,10.3,0.3
E00111343,93,0.3,6.5,0.3
E00111344,94,0.3,5.3,0.3
E00111363,91.1,0,8.9,0
E00111364,93.7,0.3,5.2,0.7
E00111365,88.7,0.6,8.5,2.1
E00111366,89.3,0,10.4,0.3
E00111367,95.7,0.4,4,0
E00111368,90.4,0.3,9.2,0
E00111369,95.2,0,4.8,0
E00111370,92.2,0,7.5,0.3
E00111371,94.1,0,5.9,0
E00111372,89.1,0,10.9,0
E00111373,95,0,4.7,0.4
E00111374,93,0.4,6.5,0
E00111375,89.8,0.3,9.6,0.3
E00111376,94.7,0,4.5,0.8
E00111377,91,0.3,8.7,0
E00111378,94.1,0.3,5.6,0
E00111379,95.4,0.3,4.3,0
E00111380,91.2,0,7.9,0.9
E00111381,96.2,0.7,3.1,0
E00111382,90.3,0,9.7,0
E00111383,97.2,0,2.8,0
E00111384,93.4,0,6.6,0
E00111385,95.4,0,4.3,0.3
E00111386,93.8,0.4,5.9,0
E00111387,95.1,0,4.9,0
E00111388,94.9,0.3,4.7,0
E00111389,96.7,0,2.9,0.3
E00111390,86.8,0,12,1.2
E00111391,93.6,0,6.4,0
E00111392,96.4,0,2.9,0.7
E00111393,95.9,0,4.1,0
E00111394,93.5,0,6.5,0
E00111395,87.1,0.7,12.1,0
E00111396,92.8,0,6.9,0.3
E00111397,91.4,0,8.6,0
E00111398,88.9,0,11.1,0
E00111399,89.3,0,10.7,0
E00111400,96.3,0,3.7,0
E00111401,95.5,0.5,4,0
E00111402,94.7,1.4,3.8,0
E00111403,91.9,0.3,7.8,0
E00111404,96,0,4,0
E00111405,91.9,0,8.1,0
E00111406,96.2,0,3.1,0.7
E00111407,95.7,0,4.3,0
E00111408,93.9,0.6,3.9,1.6
E00111410,90.2,0.3,9.5,0
E00111412,92.3,0,6.3,1.4
E00111413,93.7,0.3,6,0
E00111414,93.3,0,6.4,0.3
E00111415,90.7,0,8.9,0.4
E00111416,89.9,0,10.1,0
E00111417,89.1,0,10.6,0.3
E00111418,92.1,0,7.9,0
E00111419,90.6,0,8.7,0.7
E00111420,94.8,0,4.9,0.3
E00111421,90.7,0.3,8.6,0.3
E00111422,92.9,1.4,5.7,0
E00111423,97.4,0.3,2.3,0
E00111424,93.7,0.4,5.9,0
E00111425,88.4,0,11.6,0
E00111426,96.1,0.3,2,1.6
E00111427,96.8,0,3.2,0
E00111428,93.5,0,5.9,0.7
E00111429,90.4,0.4,8.9,0.4
E00111430,88.1,0.7,10.9,0.3
E00111431,93.3,0,6.7,0
E00111432,89.4,0,10.3,0.3
E00111433,90.2,0,9.2,0.6
E00111434,97.5,0.3,1.9,0.3
E00111435,93.8,0.3,5.9,0
E00111436,88.6,0.4,10.3,0.7
E00111437,95.4,0.4,4.2,0
E00111438,94.4,0,4.9,0.6
E00111439,93.2,0,6.8,0
E00111440,93.3,0,6.5,0.2
E00111441,92.2,0.4,7.1,0.4
E00111442,93,0.3,6.7,0
E00111443,93.4,0.3,6.3,0
E00111444,94.5,0.3,4.8,0.3
E00111445,89.3,0.4,10,0.2
E00111446,94.9,0.3,4.6,0.3
E00111447,94.2,0.2,5.6,0
E00111448,89.9,0.5,8.7,0.8
E00111452,95.5,0,4,0.6
E00111453,90.1,0,9.9,0
E00111471,96.6,0,3.4,0
E00111472,94.2,0,5.8,0
E00111473,91.1,0.3,8.6,0
E00111474,96.2,0,3.8,0
E00111475,96.3,0,3.7,0
E00111476,96.2,0,3.8,0
E00111477,88.9,0,10.7,0.4
E00111478,87.5,0,12.2,0.3
E00111479,91.6,0.3,7.8,0.3
E00111480,88.6,0,11.4,0
E00111481,99.4,0,0.6,0
E00111482,94.1,0,5.9,0
E00111483,94.4,0,5.3,0.3
