geography_code,economic_activity_status_4a-001,economic_activity_status_4a-002,economic_activity_status_4a-003
E00178866,65.8,2,32.2
E00178869,47.7,6.6,45.7
E00178870,70.5,4.4,25.1
E00178871,75.2,4.9,19.9
E00178873,51,1.4,47.6
E00178876,61.9,4.9,33.2
E00178881,79,4.3,16.8
E00178882,57.7,6.8,35.5
E00178883,68.7,4.2,27.1
E00178885,78.8,5.4,15.8
E00178886,72.9,6.2,20.9
E00178887,78.2,4.2,17.6
E00178888,65.8,8.8,25.4
E00178889,68.9,6.6,24.5
E00178890,52.8,8.6,38.7
E00178891,56,6,38
E00178892,84.3,2.4,13.3
E00178893,63,4.4,32.6
E00178894,57.3,4.2,38.6
E00178895,45.8,4.2,50
E00178896,64.7,2.1,33.1
E00178897,63.9,6.5,29.6
E00178913,54.4,4.9,40.7
E00178928,57.3,10.8,31.8
E00178939,60.1,7.6,32.3
E00178970,73.9,1.2,24.8
E00178991,64.2,6.4,29.4
E00179000,58.6,4.2,37.1
E00179004,70.7,3.4,26
E00179008,60.6,9.6,29.8
E00179020,70.5,6.5,23
E00179035,80.7,4.1,15.2
E00179036,64.5,5.6,30
E00179055,76.3,4,19.8
E00179056,60,7.5,32.5
E00179059,55.1,4.3,40.6
